E3 Ligase	Substrate	Substrate Role	Cancer Type(s)
MDM2	BTK	Crucial role in B-cell development, making it an attractive target for treatment of B-lineage lymphomas.	"Clear cell renal cell carcinoma"
XIAP	CDK4	Catalytic subunit of the protein kinase complex important for cell cycle G1 phase progression.	"Lung adenocarcinoma"
VHL	TNK2	Deregulated tyrosine kinase signaling alters cellular homeostasis to drive cancer progression.	"Lung squamous cell carcinoma"
VHL	BTK	Crucial role in B-cell development, making it an attractive target for treatment of B-lineage lymphomas.	"Glioblastoma"
VHL	MKNK2	Important role in the initiation of mRNA translation, oncogenic transformation and malignant cell proliferation.	"Endometrial carcinoma"
RNF4	BRD4	Role in super-enhancers organization and oncogenes expression regulation.	"Head and neck squamous cell carcinoma"
DCAF15	BRD9	Plays an oncogenic role in multiple cancer types by regulating tumor cell growth.	"Clear cell renal cell carcinoma, Head and neck squamous cell carcinoma"
MDM2	PARP1	Functions in DNA repair and transcriptional regulation.	"Clear cell renal cell carcinoma, Endometrial carcinoma"
VHL	AURKA	Functions as oncogene to promote tumorigenesis.	"Lung squamous cell carcinoma, Lung adenocarcinoma, Glioblastoma, Endometrial carcinoma"
VHL	CDK1	Catalytic subunit of the protein kinase complex essential for G1/S and G2/M phase transitions in eukaryotic cell cycles.	"Lung squamous cell carcinoma, Lung adenocarcinoma, Glioblastoma, Endometrial carcinoma"
VHL	CHEK1	Required for check mediated cell cycle arrest in response to DNA damage or unreplicated DNA.	"Lung squamous cell carcinoma, Glioblastoma, Endometrial carcinoma"
VHL	EZH2	A histone methyl transferase subunit of a Polycomb repressor complex recurrently mutated in several types of cancer.	"Lung squamous cell carcinoma, Lung adenocarcinoma, Glioblastoma, Endometrial carcinoma"
VHL	HDAC1	Component of the histone deacetylase complex playing a key role in the control of cell proliferation.	"Lung squamous cell carcinoma, Lung adenocarcinoma, Glioblastoma, Endometrial carcinoma"
VHL	HDAC2	Plays an important role in transcriptional regulation and cell cycle progression.	"Lung squamous cell carcinoma, Lung adenocarcinoma, Endometrial carcinoma"
VHL	PAK1	Established oncogene that serves as an important signaling node regulating cell proliferation and evasion of apoptosis.	"Lung squamous cell carcinoma, Lung adenocarcinoma, Endometrial carcinoma"
