pvalue_cutoff,fc_cutoff
2.83768444948922e-05,1.17619061098984
#######
Gene,P-value,Fold_Change
A2M,2.64208265760398e-10,0.514646048268867
ABCB1,6.73946396290946e-48,-1.63593737568664
ABCC1,5.69304303661359e-20,1.11640953516322
ABI2,1.86182269099095e-26,-0.416275280821258
ABI3,1.79743077472474e-40,1.56089835047148
ABL1,3.69529006661433e-10,-0.280073507620469
ACACA,0.000282974875499775,-0.227114984045134
ACACB,4.22610871961599e-13,-0.928389707412859
ACE2,2.12554043175747e-06,-0.600614579194618
ACTA1,0.744397505396512,0.0773610238053264
ACTN2,0.00384757702618597,1.15309421000115
ACVR1,4.79891714233161e-28,-0.737677836989566
ADRB2,2.88408849097716e-10,1.02313027998861
ADRM1,1.01017845324338e-11,0.320755883441813
AFF1,2.24810132480408e-07,-0.228696002984047
AGL,3.95493345949346e-32,-0.557899215413331
AGR2,1.35583844219772e-11,-1.82790712814135
AHNAK,2.44831612728581e-18,0.851530458993528
AHR,3.98611575448012e-30,1.28474194708646
AHSG,9.92652915881491e-16,-5.27553320845531
AICDA,0.211032267448624,6.29355228475855
AIF1,5.07265048238174e-27,1.44312920834901
AIFM1,6.12142370133475e-28,-1.28358176642607
AIMP2,0.000177229536925577,-0.205796629353689
AKAP1,4.03716179109168e-24,-0.613703173180304
AKAP8L,0.0149505563942459,-0.0918618030831544
AKT1,2.22135378566604e-08,0.254220597085152
AKT2,0.00021330597970727,-0.261370187277763
AKT3,0.0439549104525381,0.133851472179113
ALDH3A1,0.36523052970229,0.122674132985939
ALK,0.749320699687193,0.0649041337527478
AMBRA1,0.143773285686053,-0.0468039337211823
AMFR,1.2272722068278e-38,-1.0133802980671
AMOT,2.62400889389742e-19,-0.629245033519568
AMOTL2,0.402684716478671,0.0692213430260793
ANAPC11,0.416162085995667,0.0356845079465105
ANAPC2,0.0339961852760825,-0.103583188803821
ANKRD13A,1.38439875516701e-16,0.958365733577037
ANKRD13D,4.32278094174102e-19,0.557650592821162
ANKRD50,3.7734639495568e-07,0.310638295218335
ANKS4B,9.37225643979691e-18,-1.37867507703982
ANLN,1.93574336909017e-15,3.27048344882239
ANXA1,1.4169835457845e-27,1.80936317476787
ANXA13,7.90533396283998e-08,1.28791081471647
ANXA2,5.98190807341615e-24,1.42780075677356
ANXA6,7.0032561321781e-07,0.283227264244704
AP1G2,0.00351544268938398,0.133187150649996
APBB1,0.000116077773466266,-0.208925401111148
APEX1,0.945912510522471,0.00351752173458397
APOA1,2.32650428138684e-09,-1.74790450057044
APOB,0.0171858742138783,3.66633519946062
APOBEC3G,1.40524209465163e-29,2.54428967964414
APP,3.14173817878716e-07,-0.273399820130898
APPL1,0.00401062401653911,-0.0989122171852435
AQP2,3.15779435015681e-23,-7.62135268539403
AR,0.0466872863847599,0.199320415987335
ARF1,6.54730200689386e-08,0.191989599139932
ARF6,0.21707605263842,0.0489494196330771
ARFGAP1,0.000175864307522312,0.221383050596222
ARHGAP35,3.86818518278824e-26,-0.528844240724824
ARHGDIA,0.398342156713062,-0.0393719326209849
ARHGDIB,5.76103119566337e-47,1.8635596334985
ARHGEF11,6.10316665311571e-08,-0.197564070480259
ARHGEF7,6.39837244119638e-12,0.445641710955381
ARID1B,3.54372369750717e-34,-0.50493508569327
ARIH1,0.449575345856131,-0.0189792329301128
ARIH2,1.20641059177911e-19,-0.466703980351141
ARL6IP5,1.05806993381974e-18,0.619919443443331
ARNTL,0.00379143563792628,0.233005785008518
ARPC3,2.48198888382643e-32,0.695692638950561
ARPC5,4.87072726061589e-51,1.09807889901055
ARRB1,9.5108426276029e-15,0.509097074971362
ARRB2,1.8002943737855e-33,1.33587147125149
ART4,0.0209532792543634,-0.329138652776019
ARX,0.00112402424632071,2.69625822047851
ASB11,0.00684587943853993,0.694348068616014
ASB2,1.28406587981155e-09,1.43502533803319
ASB3,1.05272374530544e-10,0.226293063246612
ASB4,0.0323711496476874,1.0958977319793
ASB8,0.0278228884788185,-0.0733101809181163
ASB9,4.91211318498837e-27,-1.43539341955761
ASCC2,0.00049774557383479,0.113190243482787
ASCL1,0.123185052169888,3.70681565633618
ASS1,1.61617451852411e-26,-3.47009004283988
ATCAY,0.339704082316732,0.261550928155591
ATF3,0.0705054441187369,-0.447764840865919
ATF4,2.73973818002748e-28,0.744488673118656
ATG16L1,1.78369985907207e-10,1.05141724745246
ATL1,0.00416554828768076,0.215859313798132
ATMIN,0.354437096190961,-0.0373111621878568
ATP1B1,1.12681467893376e-40,-1.2316312261645
ATP6V0C,5.17892105729707e-06,-0.530293071732117
ATR,0.109213013675809,0.0639467883344733
ATRN,1.72292197363324e-32,-0.490911406342869
ATXN1,4.06840991263836e-17,0.341161263953934
ATXN3,0.103965126140435,-0.0636243541679358
AURKA,5.99677053897898e-16,1.17796418311591
AURKB,9.513939892336e-21,3.01340934115577
AXIN1,2.92841179845012e-15,0.457931916244096
AXIN2,2.51475431497755e-12,-1.00158208442987
BACE1,1.3931439639107e-30,-0.455117657636212
BACH1,2.27932492309606e-17,0.533094043507329
BAG1,1.96934598600137e-20,-0.824789623100191
BAG3,7.56024817379501e-22,-0.785651374315456
BAIAP2L1,0.979938958744313,0.00364853829484746
BAK1,1.65190873596584e-05,0.310607754433065
BARD1,6.48802779929831e-27,0.899106126634635
BAX,3.33120425215816e-50,1.1306746874677
BBS2,2.04485575129828e-09,-0.287106348592762
BCL10,3.51752502022925e-21,0.565457151357248
BCL2,2.99074468520955e-21,1.18208792186716
BCL2L1,0.0298079486814818,0.12616697243203
BCL2L11,0.0687989033461997,-0.0901097465428866
BCL6,6.62430248147421e-17,0.949805647062315
BCR,6.36298053404281e-33,-1.10246496738157
BECN1,2.25266186988569e-13,-0.180866437784556
BEST1,6.74659870078412e-24,1.66291735210637
BFAR,1.06141194370498e-37,0.719205250995554
BHLHE40,0.053927348288188,0.228378614975498
BID,1.74507414716406e-31,1.00242415394051
BIK,2.2745431075833e-19,-1.34239340077112
BIRC2,3.05741075194636e-15,0.296465199268618
BIRC3,1.16893944462131e-17,3.12621543415493
BIRC5,1.53331643307664e-15,3.18316729518992
BIRC6,0.0186992863913411,0.043901607295922
BIRC7,3.20709412524571e-07,6.07670235604212
BLK,0.51434287065481,0.193941309885361
BLM,1.59414149635671e-24,2.10270397617297
BLZF1,1.11845047119526e-17,0.330073491250787
BMI1,5.05314215236116e-10,0.318235206754669
BMPR1A,8.55128174518956e-06,-0.193127008368559
BMPR1B,0.000129329347686058,-1.71438384816229
BMPR2,0.439763531455578,0.0308183825263018
BNIP1,9.8100792348014e-09,0.285574465818618
BORA,3.94653911362879e-28,0.931234929289102
BRAF,0.483547662329657,0.0263007400759765
BRAP,1.34045658676806e-19,0.266935544452664
BRAT1,5.94535863709339e-19,0.400629575092025
BRCA1,3.5078671574179e-19,1.27652742483235
BRCA2,1.1097912927111e-41,2.37314642267336
BRD2,0.958422740442794,-0.00173063048742161
BRD3,2.99040129194034e-06,-0.393225048532714
BRD4,2.86559177149336e-08,-0.493773009446371
BRF1,0.0177090962294617,-0.145496552521279
BRIP1,7.95235141344943e-25,1.98418746675776
BRMS1,3.60670245492342e-08,0.201702365896208
BSG,0.84741506581497,-0.0183153264595006
BST2,2.82669875666118e-28,1.77063339655818
BTG1,1.31719049201796e-25,0.967801725279138
BTG2,1.00851737050016e-05,-0.667450576759804
BTK,2.54273406804361e-27,2.39544531754999
BTRC,1.56274336377244e-37,-0.433628165803187
BUB1,2.44483889754784e-16,3.28308867528842
BUB1B,2.69867734126001e-16,2.1717321150496
C10orf90,0.000924365544993108,-1.00251237913779
C6orf106,1.16562641523923e-05,0.217495598000405
C7orf50,0.000225772456852319,0.207549580843529
C9orf78,1.56106998721074e-17,-0.359456725623762
CABIN1,3.75486967740188e-10,-0.314533033958625
CACYBP,0.332465610502998,0.0441630162849354
CALCOCO1,0.833255202264662,0.00647257324246819
CAMK1,0.603827204437902,-0.024466166180658
CAMKK2,0.211575427008304,0.0618340474210122
CAND2,8.8912117567657e-31,-1.35953461627978
CAPRIN1,1.33877668191639e-06,0.124532729791327
CAPZA1,1.3607220516969e-30,0.834900377352292
CARD9,7.6569156361659e-34,1.82394595489883
CARM1,1.72523564425023e-07,-0.230123321580804
CASC3,8.91350343900472e-12,-0.186224938527308
CASP1,2.17753114173054e-45,2.07367409260531
CASP10,1.16896764562044e-09,0.477957484256966
CASP3,1.39468269508e-26,0.785122102468701
CASP7,2.78624509821604e-19,0.460084110056827
CASP8,1.21089692980858e-35,0.915361137407713
CASP9,1.64997253336965e-27,-0.690755713569838
CASR,3.68216247964586e-33,-5.38619743152424
CAV1,3.72471100205309e-28,2.94291633160621
CBL,7.78280601278284e-23,0.527218128043998
CBLB,2.64429124639239e-25,0.590478374654308
CBLC,5.22626429829909e-27,-2.1012356171945
CBLL1,0.0391481738178457,0.0826666352734247
CBX1,0.00163726388529901,0.116852018268347
CBX5,0.143888021594968,0.0803613126336113
CCAR1,0.00921383306493812,-0.0615006766798363
CCDC6,0.00016814537822777,-0.194389940425215
CCDC69,6.51578057263733e-07,0.480236421503208
CCDC88C,9.19987341071267e-13,-0.561313455619413
CCNA2,9.24403411304958e-22,1.80374649532494
CCNB1,2.05791473086412e-12,1.30900647762776
CCNB1IP1,3.00965317117868e-15,-0.504168563403813
CCND1,1.26693014961382e-30,2.35405662743307
CCND2,2.39580558557352e-10,1.23044510917111
CCND3,4.89868454653265e-22,1.00395219971055
CCNE1,2.85759762171752e-12,1.04208199542525
CCNE2,1.00507318966794e-29,1.1857660699038
CCNF,1.11202346764861e-07,0.836406331580275
CCNG2,0.340796566277679,-0.0504729322089124
CCNK,0.000197159451331814,-0.226659580074966
CCP110,7.85092530027706e-17,0.384641551396268
CCS,0.999416525319988,-3.39681254679647e-05
CCT4,5.96361120888173e-24,0.432061096748687
CD247,1.03672830268181e-25,2.45863578378175
CD274,3.30087629196931e-07,1.19272060011142
CD3D,1.31735595306732e-16,2.64439326721885
CD4,1.52560186992769e-29,2.08784111760522
CD40LG,1.30834667408505e-13,1.36127463284725
CD44,1.19874563692409e-07,0.980148994189198
CD5,7.43853309867076e-15,1.3861556148076
CD74,1.15814439629008e-26,1.83090069261769
CD82,0.609778521212905,0.0975529889797175
CD83,0.000691817259463285,-0.480255381209468
CD86,3.21965388275616e-33,2.41525698259166
CD8A,5.57402256070042e-13,3.13867988922068
CDC14A,2.27026559091449e-10,-0.397428932003544
CDC20,1.32834228106108e-10,1.78819368733817
CDC25A,0.73135491444233,-0.0347987017815543
CDC25B,0.000131602867928658,0.362947062458827
CDC25C,7.72473568452191e-17,3.06759486291642
CDC34,1.95290941744297e-13,0.342139141430471
CDC42,1.475345162486e-19,0.36892378908719
CDC6,3.29219453016423e-23,2.64674471287157
CDCA3,1.52609422507574e-13,1.14203076987731
CDCP1,8.07961460930581e-07,1.30827107305703
CDH1,8.37259454985589e-10,-0.628772409592267
CDH13,3.79545677204247e-29,2.52091396164442
CDK1,4.3595918124173e-14,1.68858458796955
CDK2,7.11803969381294e-30,0.829454652428796
CDK8,2.40242955887671e-18,-0.335425520682875
CDK9,2.95576933068863e-07,-0.176047997981748
CDKN1A,2.13802567611621e-16,1.26947250035552
CDKN1B,3.42751324661e-39,0.904445961511567
CDKN1C,5.15874428400471e-20,-1.17297354856535
CDKN2A,3.65807435676547e-37,4.87246460665383
CDT1,1.90413824805679e-24,1.47524729289054
