pvalue_cutoff,fc_cutoff
2.82645562464669e-05,0.193919642830772
#######
Gene,P-value,Fold_Change
A2M,7.81368624436073e-17,-0.168471882670044
ABCB1,2.51808789440556e-25,-0.371484023066131
ABCC1,1.03931676614153e-10,0.160314573902198
ABI2,8.55245103768621e-16,-0.0655046571702713
ABI3,0.000105667183637023,-0.106913251995545
ABL1,8.66899674552513e-06,-0.118363956188835
ACACA,7.64056401821118e-15,0.103286805444501
ACACB,4.64157575657475e-22,-0.386500252440364
ACE2,8.94427149861797e-07,0.30591379395817
ACTA1,0.012714334233151,0.606804281499415
ACTN2,1.17022392727037e-13,-0.876254825342611
ACVR1,0.0399662486716208,-0.0216759844328154
ADRB2,2.15061977561283e-10,-0.369977726981228
ADRM1,1.09218133333231e-05,0.0670902359900398
AFF1,0.000112855062866796,-0.0459598787338207
AGL,0.00638570119005999,0.0239520707141123
AGR2,2.11635129577284e-05,0.482367766553396
AHNAK,7.05257099319814e-11,-0.147193850082465
AHR,8.55217477433393e-10,0.071271104496144
AHSG,5.46703371272522e-09,3.00073645911055
AICDA,0.603897700482246,-0.0129392864211515
AIF1,0.860134783554066,0.00463774769600445
AIFM1,1.04983030001072e-08,0.185661478454697
AIMP2,4.1566224175274e-08,0.149076914715044
AKAP1,0.00387045200449869,0.03535467878153
AKAP8L,1.29135994196527e-07,0.0417249984037458
AKT1,2.58662093713388e-13,0.0724051048606924
AKT2,0.0308860391731684,-0.0174157337035807
AKT3,2.1686136648094e-23,-0.392614118058893
ALDH3A1,2.21304018438213e-08,0.502957250648942
ALK,0.107175938538164,0.12657087270489
AMBRA1,0.147488073261677,-0.00842212511210993
AMFR,5.85049019345942e-13,-0.0955441387874316
AMOT,0.0192489040559183,0.044975165232997
AMOTL2,7.83024841476516e-05,-0.117336954856051
ANAPC11,1.99040338753789e-09,0.0900696313352607
ANAPC2,0.41686719608694,0.00669412820953452
ANKRD13A,0.638617831707122,-0.00374680738097943
ANKRD13D,0.000108614373647563,0.0632626152888629
ANKRD50,0.050992843732629,-0.0259424947344002
ANKS4B,2.09910107543929e-05,0.167187444454282
ANLN,9.22976306363208e-09,0.542650555972918
ANXA1,8.84598159988074e-07,0.0945095130005416
ANXA13,1.79225134795817e-10,-0.861808701819579
ANXA2,3.01261797878268e-10,0.125492659302575
ANXA6,8.97987678001845e-16,-0.198870343514584
AP1G2,7.76487614414545e-09,0.114394999608388
APBB1,1.39280786229088e-30,-0.419923332414516
APEX1,0.00288090202127423,0.0400103356443697
APOA1,0.0386658097764283,-0.254624715975953
APOB,1.04843591629629e-05,-0.664204796563455
APOBEC3G,3.81599087742738e-05,-0.104229549541962
APP,0.00085684040325117,0.0322185508169439
APPL1,0.00340824759353964,-0.0263960139525552
AQP2,2.23356773221069e-05,0.795392621913991
AR,6.21734222775414e-10,-0.160567851624729
ARF1,2.86008318091463e-05,0.0315577255332919
ARF6,7.13892007655861e-13,0.0899763044010085
ARFGAP1,0.000503186302312072,0.0269033866059338
ARHGAP35,0.00142670483469,0.0201081606763536
ARHGDIA,0.00161622596793559,0.0469961210753116
ARHGDIB,0.000905603588531041,-0.04838077426114
ARHGEF11,5.08432537513794e-07,0.0436147341196196
ARHGEF7,1.59272212808827e-06,-0.0401010234249441
ARID1B,0.0570619095745983,0.012247462403348
ARIH1,0.000844032030900441,-0.0362931211053867
ARIH2,4.15198992186764e-07,-0.0307274498476189
ARL6IP5,0.180633102764094,-0.0158046196098613
ARNTL,0.870200152051579,-0.00634856643588533
ARPC3,3.03690986656275e-10,0.109695980733289
ARPC5,0.244073343158404,-0.0102024408315917
ARRB1,2.70992247245008e-11,-0.192732229825265
ARRB2,0.0598948615729295,-0.026016788563481
ART4,0.000543482016540836,-0.203358294215018
ARX,0.000537892222300893,1.69061878339484
ASB11,0.727404324680597,0.0091158910092739
ASB2,5.30295337477103e-19,-0.598399705468819
ASB3,0.012413992513544,-0.0391373671546349
ASB4,0.568448987789675,-0.0634871365158285
ASB8,1.44951591719607e-05,-0.048860868969387
ASB9,0.000606411204149594,-0.124524844825594
ASCC2,1.160739321199e-14,0.0709237124205333
ASCL1,0.284618672007803,-0.379500764377656
ASS1,0.0540622478333557,-0.0472571273583919
ATCAY,0.0134695283791615,-0.0285981939493256
ATF3,2.7011127029051e-06,-0.334244369125264
ATF4,0.0280280959863076,-0.0292856996430459
ATG16L1,0.0277561789296832,-0.0246387477933974
ATL1,3.28356885098958e-12,-0.206840968697935
ATMIN,0.174738511866112,-0.0096096927191387
ATP1B1,0.0267406021057718,-0.0413988030958499
ATP5F1B,2.49828820727296e-10,0.0666145215055072
ATP6V0C,7.03909487436661e-06,0.0805425261324664
ATR,2.85768455068339e-10,0.052273741838945
ATRN,7.4649673061233e-09,0.0505706017354139
ATXN1,4.53981257045815e-07,-0.0777887833601696
ATXN3,4.90439795243473e-13,-0.11114591111612
AURKA,3.12119614674259e-16,0.418682082155911
AURKB,9.56015977432401e-07,0.867281568988414
AXIN1,8.07853828854897e-07,0.0807815598416379
AXIN2,0.000326248370962026,-0.0920000570078519
BACE1,0.0020079961092926,-0.0417797946210019
BACH1,0.00648125599625295,-0.0522043905599743
BAG1,7.3949139096111e-07,0.0510857583132736
BAG3,0.105664642603852,-0.0412014493136419
BAIAP2L1,1.9879946311617e-11,0.303711400808038
BAK1,3.0802083671966e-10,0.123298197303984
BARD1,2.60039402472527e-06,0.081147895447641
BAX,2.06536443950869e-10,0.161274032813962
BBS2,6.88353439651402e-05,-0.0530784034047018
BCL10,4.9158987312292e-09,0.0730661598092968
BCL2,9.27051345387255e-19,-0.25394847240453
BCL2L1,2.01978335903693e-14,0.130318105923243
BCL2L11,1.04586140392695e-08,0.121740648283883
BCL6,6.9634103049022e-05,-0.101376413093822
BCR,6.18335210814868e-09,0.10093789927649
BECN1,8.82286173333093e-06,0.0381393448316363
BEST1,4.19831922602332e-10,-0.318512220799571
BFAR,1.73384481091444e-06,0.0261506812605878
BHLHE40,0.400682564474906,-0.0219071501454851
BID,9.04203448990753e-10,0.169562701193197
BIK,9.20551814655244e-08,0.816657901731139
BIRC2,1.84305783885713e-05,-0.0354749466252784
BIRC3,0.900316822819645,0.00376293296590102
BIRC5,1.11151484816511e-07,0.828783972676046
BIRC6,0.0207246160027585,-0.00839091943624393
BIRC7,0.00469852440002939,0.541884229149424
BLK,0.00856908218772053,0.653818535453798
BLM,4.62306812694961e-09,0.521542295804404
BLZF1,0.000110466567397039,-0.0389917271256612
BMI1,0.000565390461778952,-0.0459243480210714
BMPR1A,1.2550130836564e-12,-0.0785794976334091
BMPR1B,0.000114647246180913,0.275654034111223
BMPR2,5.78673898957413e-07,-0.047734066060737
BNIP1,0.411786935290898,-0.0143303901912089
BORA,9.08252049475387e-12,0.280312811484595
BRAF,0.00018522200201089,-0.037620108868953
BRAP,0.000420637676906507,-0.0229564072752266
BRAT1,0.00017348313197943,0.0367009746413789
BRCA1,4.31780461358721e-18,0.154239590607526
BRCA2,1.27142871298613e-11,0.260371016056101
BRD2,0.800530519814067,0.00206693224610843
BRD3,0.0411937829676748,0.0227626053892256
BRD4,0.00391890351616788,0.0523031612061025
BRF1,2.57472286584662e-10,0.0671153241933058
BRIP1,0.119626035641455,0.011396624044826
BRMS1,6.99801931335137e-17,0.113126624868166
BSG,2.83031036332156e-08,0.0796515680691132
BST2,1.36335705231604e-07,0.155475707990766
BTG1,8.51563209035003e-09,-0.16186391456282
