pvalue_cutoff,fc_cutoff
2.8587764436821e-05,2.04603308380678
#######
Gene,P-value,Fold_Change
A2M,1.39502677610954e-17,2.76854047952416
ABCB1,0.0394970576249481,-0.671473256626744
ABCC1,2.51670462301802e-09,0.929244542096736
ABI2,8.11068231238624e-05,-0.775197571369791
ABI3,9.93972495856757e-17,2.53453425958118
ABL1,4.11946972403306e-09,1.19802611126919
ACACA,0.000653740846719759,-0.491167256064088
ACACB,0.0868114510306775,-0.467009727090108
ACE2,0.646816856825405,0.141333905592765
ACTA1,0.00174581277847401,-0.666271078275987
ACTN2,0.314808210308134,-0.115032126674645
ACVR1,2.48688923611834e-06,0.617424307397791
ADRB2,0.00843156631587798,0.775230188625024
ADRBK1,3.06720156306185e-06,-0.84697472757944
ADRBK2,5.3901543803483e-06,-2.05924706806683
ADRM1,1.60683789525894e-07,0.857658345982767
AFF1,0.0013102293944491,0.647101782662187
AGL,0.0121159976415415,-0.239820687544729
AGR2,0.187390315296988,1.75428602688214
AHNAK,0.00308785103899177,0.663184007589624
AHR,4.04841984837685e-18,2.14943511021944
AHSG,0.00459744685117218,-1.05649340176986
AICDA,0.0039411124029599,2.13045695346761
AIF1,4.24095025767003e-20,2.74125445503612
AIFM1,1.20548392230826e-09,0.513327959998936
AIMP2,7.69936569156672e-11,1.41349570347951
AKAP1,3.85212410477395e-15,-0.493403678265739
AKAP8L,0.266011910479508,0.141810637913462
AKT1,8.0627114984842e-18,0.96141362044375
AKT2,0.0110612986379737,0.575415051643699
AKT3,2.65418426208987e-06,-1.7662570539552
ALDH3A1,0.000172579182010976,1.64419966110823
ALK,2.3156747729445e-06,1.1934985831042
AMBRA1,0.89295483115072,0.00428970021552644
AMFR,0.000333070599030304,0.401197918425062
AMOT,0.000208430271374877,-1.18184681853617
AMOTL2,0.292219189572096,0.179799941059333
ANAPC11,8.72125937591649e-16,1.01895738110318
ANAPC2,0.000118480277362223,0.448860693691774
ANKRD13A,1.95459015931178e-05,0.729660261194905
ANKRD13D,0.203413242919347,-0.1314276729134
ANKRD50,0.0100856520402289,0.330067774982478
ANKS4B,0.00476113814058008,-2.21592768030427
ANLN,0.32380616206603,0.437854899598939
ANXA1,3.44233577740587e-27,4.73871901832586
ANXA13,0.0015252392986411,1.24616057504066
ANXA2,1.45526237281704e-24,4.78983188855248
ANXA6,0.00678015893606959,-0.701240304779706
AP1G2,0.00293546927621842,-1.73129530338287
APBB1,3.10036018974016e-05,-1.55947351003389
APEX1,4.30689976229509e-10,1.03563299815116
APOA1,0.0165460331411285,0.761643816440426
APOB,0.0922360712371442,-0.553094127271596
APOBEC3G,5.95111082547748e-21,2.71038224077079
APP,0.1219805537314,-0.283865949942321
APPL1,0.00186598378471537,-0.409503515841767
AQP2,0.149772185655356,1.6587085076857
AR,1.14088523220362e-18,2.26015155757505
ARF1,0.194672229629742,-0.146982483301212
ARF6,2.79119028326e-07,0.677039255796863
ARFGAP1,2.52359726698768e-10,0.5372369570775
ARHGAP35,2.03952546441632e-09,-0.891648207064485
ARHGDIA,0.107037388260567,0.186041067418358
ARHGDIB,4.40165002989469e-29,2.97872297937596
ARHGEF11,1.99275732389869e-07,-0.844769708967874
ARHGEF7,1.57893234799391e-07,-0.485429942608345
ARID1B,0.112214520792928,-0.164200250237162
ARIH1,3.71019181038189e-05,-0.325901886264298
ARIH2,2.19986629578098e-09,0.589920512893102
ARL6IP5,0.0160479114555602,-0.554274346349999
ARNTL,0.00363432102380929,-0.27053250313466
ARPC3,0.000974979312272616,0.555640002622344
ARPC5,7.3953919936416e-12,1.21114429234201
ARRB1,3.47125848808666e-08,-2.24034865100644
ARRB2,6.3483812412102e-05,0.361399895772877
ART4,0.263520281854248,1.67746156103461
ARX,0.000165025063786063,-1.36743810462821
ASB11,0.0320256781643593,0.820867299306121
ASB2,4.91209141233507e-05,-2.66681002335258
ASB4,0.000790541217973618,-1.30954049031679
ASB8,0.00245610827406705,-0.369961253291603
ASB9,1.42434685663714e-22,2.51759739689068
ASCC2,1.13492595460253e-08,1.21170019955825
ASCL1,0.000160906940975088,1.11770238759316
ASS1,0.0234992112792897,-0.728751668099434
ATCAY,2.21095341584355e-07,-2.64663810218586
ATF3,9.31062985925246e-15,3.53800115662846
ATF4,1.3654871645162e-06,0.84407923464072
ATG16L1,0.0171390773251334,-0.194928709185348
ATL1,0.000294917884816072,-2.60810955419924
ATMIN,0.00263477161966542,-0.591104572221493
ATOH1,0.0621351542213935,1.88856864252026
ATP1B1,0.000230728285313259,-2.88572233103791
ATP6V0C,0.00623218286879934,-0.628985022774224
ATR,0.000279595259340459,0.282792370682188
ATRN,0.0386783073622843,-0.29921328389446
ATXN1,8.79291773914101e-09,-0.990540835902827
ATXN3,6.79782144415588e-08,-0.667726150482196
AURKA,1.09509759530888e-28,2.60784880366847
AURKB,2.67713965127726e-23,6.29718369618067
AXIN1,0.0172361449250156,0.336179978265886
AXIN2,7.34448989687349e-06,-0.360633540085665
BACE1,0.288745955969469,-0.123500889455922
BACH1,1.80598352377142e-20,0.834058635005917
BAG1,0.555021899868545,0.0576142655879437
BAG3,0.522413944501296,0.266812978900901
BAIAP2L1,0.438551843458632,0.427021748793978
BAK1,1.16103501684248e-08,1.02892443443957
BARD1,2.04870299330032e-26,1.7395557046807
BAX,6.10362719199531e-43,1.9712807757008
BBS2,0.00530311646866893,0.289151181427524
BCL10,6.99994578853569e-17,0.949440235528167
