pvalue_cutoff,fc_cutoff
2.82326369282891e-05,0.118965677805425
#######
Gene,P-value,Fold_Change
A2M,0.00238613970102259,-0.0387838207253974
ABCB1,7.92864904317469e-20,-0.217539622331984
ABCC1,5.15737227720334e-10,0.0987996497736603
ABI2,0.0168293318182195,0.0214018716911273
ABI3,6.83502849557122e-06,0.100406443612113
ABL1,0.692790961371259,-0.00375489983244526
ACACA,0.000331208902266021,0.0268090071127212
ACACB,1.18154110358184e-24,-0.313353043365168
ACE2,0.00017377158957732,-0.130366860480357
ACTA1,0.00273448164044891,-0.452200892536917
ACTN2,0.0265641147658001,-0.29789257786498
ACVR1,1.08198603109153e-26,0.145344610947132
ADRB2,1.85492087682126e-07,-0.111545003981402
ADRM1,6.74900531928221e-09,0.0428791481165192
AFF1,5.20413642087969e-12,-0.0470796551031949
AGL,2.36914980100737e-09,-0.1251334375302
AGR2,0.00118014173853813,-0.276125778066077
AHNAK,1.41144737919966e-08,-0.0451556810226084
AHR,5.53701274496957e-17,0.104727048471013
AHSG,0.818140780851009,-0.0438785706501519
AICDA,0.440717424903189,0.0199568542942146
AIF1,0.000706845358727376,0.0746757788031047
AIFM1,0.0718661792348971,0.0125895872078066
AIMP2,0.0090399063306015,0.0331478845066604
AKAP1,2.24509011577556e-08,-0.0664884417846676
AKAP8L,0.0920943668627697,0.00916187472047358
AKT1,0.000545161947150801,0.024070592288147
AKT2,3.69282134170723e-11,-0.0435678504354651
AKT3,0.805439436487664,-0.00343260560011238
ALDH3A1,5.62455987257053e-20,-0.430792647219437
ALK,4.75903557639334e-08,-0.134879673882387
AMBRA1,0.716393330996784,0.00199124412628615
AMFR,3.42455190205556e-18,-0.0789454609138232
AMOT,1.45295279327153e-23,-0.362975430111645
AMOTL2,3.48648244170413e-12,-0.0991739998672188
ANAPC11,0.0237856867832289,0.022687206059254
ANAPC2,0.605741883341248,-0.00524180095582283
ANKRD13A,2.74197275056666e-06,-0.0450726487273321
ANKRD13D,5.85290633503543e-06,0.0473784399009753
ANKRD50,9.49665475369e-18,0.0961863633471718
ANKS4B,0.000202276159704913,0.101716087064715
