pvalue_cutoff,fc_cutoff
3.10945273631841e-05,0.284350788618682
#######
Gene,P-value,Fold_Change
A2M,5.33909070321921e-50,-0.313617244629073
AAK1,5.39837266185823e-09,-0.166109098126772
ABCB1,2.03523897381797e-24,-2.19273260136251
ABCC1,0.000221593990605188,0.0692452768548437
ABI2,4.03366649975982e-18,-0.307311985097865
ABI3,1.0354969314333e-18,-0.397192648348014
ABL1,0.292246735343764,-0.0203357326040412
ABL2,0.0920152068852969,0.0496726774366272
ACACA,4.07931455356341e-08,0.097686329871312
ACACB,1.21880746823734e-54,-1.08804001328943
ACE2,5.26693475054718e-05,2.16285796065734
ACVR1,2.12440124535093e-23,0.231331037104549
ADRB2,6.20858887669535e-50,-1.17390182390199
ADRM1,7.63059161313296e-20,0.138195128734251
AFF1,6.82802889729374e-29,-0.157625965036074
AGL,0.0124806343608647,0.0554218950688874
AGR2,6.12077921964218e-25,0.532697654489475
AHNAK,3.01654947767491e-51,-0.345144787621513
AHR,0.096581592168391,-0.0274045936473222
AIF1,1.49066694318007e-12,-0.162675619168958
AIFM1,2.58026683482251e-34,0.400028631023173
AIMP2,5.0558075712035e-40,0.586414564964668
AKAP1,2.16312211678917e-16,0.180419968732863
AKAP8L,0.0697762269714011,-0.0205828985158814
AKT1,1.49630957096e-06,0.0631965379686337
AKT2,0.003683889693465,0.0470411138416884
AKT3,3.67482911689601e-49,-0.572821283544257
ALDH3A1,0.000109147474483309,-1.78372574383974
AMBRA1,0.346288336803934,0.0129806831227643
AMFR,1.72676141743932e-06,-0.0563444417191636
AMOT,0.000259566698403163,0.403053040176325
AMOTL2,3.44433986385656e-33,-0.386046464907252
ANAPC11,2.26685727363172e-44,0.373201935275995
ANAPC2,0.00724659968039937,-0.0446809362588243
ANKRD13A,0.000335976306980422,-0.0517491155899075
ANKRD13D,1.94979607634227e-06,0.116182764491287
ANKRD50,0.808865550000836,-0.00533353347494181
ANXA1,5.59257649462771e-17,-0.216620574273847
ANXA2,1.77436040773095e-05,-0.0512015651296722
ANXA6,1.75078116099166e-28,-0.163796348853359
AP1G2,1.2356171578399e-17,0.157430073236874
APBB1,1.0973228322374e-39,-0.675223254779469
APEX1,9.35584538353916e-23,0.147031583925684
APOBEC3G,0.000200057791054224,-0.142105616105115
APP,0.931661603855193,0.00101291973806639
APPL1,2.0135349593785e-17,-0.099766441545563
ARF1,2.88666245214341e-24,0.0856653604507676
ARF6,8.36290244477905e-12,0.0995570626597129
ARFGAP1,3.05010177311664e-30,0.258721837823374
ARHGAP35,0.0621216509043085,-0.0287687186542702
ARHGDIA,0.00349700662540496,0.0391657605094631
ARHGDIB,2.66338291068832e-06,-0.0657695449944939
ARHGEF11,4.64879512850604e-05,0.0700398066967527
ARHGEF7,3.05472691964953e-09,-0.0892343179768946
ARID1B,2.34983215348097e-05,-0.0707198751767173
ARIH1,1.7995736453443e-09,-0.123337251923544
ARIH2,1.14412979903661e-07,-0.0536898948252151
ARL6IP5,0.00040613652963532,-0.0467145743001232
ARNTL,1.59422400521356e-10,-0.193942452811457
ARPC3,8.31646027307287e-11,0.0589079588184851
ARPC5,4.24586399906283e-05,-0.0494332894842353
ARRB1,6.16857645810667e-39,-0.324330983858639
ARRB2,1.5416440985779e-39,-0.30163400288712
ASB3,0.0680368695880563,-0.0258854379704887
ASB8,0.682434923806383,-0.00621545657399714
ASB9,2.52110449937248e-05,-0.355070581654853
ASCC2,1.46236401300006e-09,0.132603947084041
ASS1,1.0167750998754e-08,0.178410726629298
ATF3,7.75389680465463e-23,-0.691581604436481
ATF4,1.47229849414251e-07,-0.0587188411151565
ATG16L1,1.17195394189016e-14,0.132859868412341
ATL1,0.0180082315364061,-0.104312682502816
