pvalue_cutoff,fc_cutoff
2.66524520255864e-05,0.0989640559782984
#######
Gene,P-value,Fold_Change
A2M,7.79264642210202e-59,-0.1952172878735
AAK1,0.000776903429272174,0.0133150642114677
ABCB1,1.90986928750212e-38,-0.206179837767502
ABCC1,2.63515151147146e-25,0.109062029820796
ABI2,4.92588631529375e-12,-0.033915200129655
ABI3,3.47792939072183e-19,-0.0852479969257907
ABL1,2.24042505082877e-09,-0.0243792125092295
ABL2,0.178548575719494,-0.00841400557446281
ACACA,7.72243852210414e-07,0.021065004110266
ACACB,1.1122428825865e-58,-0.167546072784178
ACE2,0.662757185906405,0.00606722560230555
ACTA1,0.0416520980524978,-0.0349609056261948
ACTN2,1.22001049541086e-54,-0.358067908622621
ACVR1,1.88067672190777e-20,0.0438224091054504
ADRA1A,3.12475795815492e-60,-0.651525746449011
ADRB2,8.14977771365792e-46,-0.234920590928449
ADRM1,1.31384732430096e-44,0.0619702278098107
AFF1,1.32877642047481e-31,-0.0569912978758573
AGL,1.17980419122008e-07,0.0243554612096517
AGR2,0.148722466712546,-0.0235231415582824
AHNAK,1.16200995007284e-37,-0.0703951583874121
AHR,1.38124251555707e-07,-0.0299595918296722
AHSG,8.49927916258495e-07,0.26486266063446
AICDA,0.00265004670671485,-0.0815539891859527
AIF1,8.06237787689936e-26,-0.0844640983322966
AIFM1,2.10361471480614e-34,0.0492270995066679
AIMP2,4.39409449464962e-50,0.0929154153778029
AKAP1,0.243378935175102,0.00594382643940605
AKAP8L,0.739900353554513,-0.00116632043639786
AKT1,0.287407650412649,-0.0039079199073333
AKT2,8.84361203161025e-06,0.0220799170464803
AKT3,6.07062882104028e-21,-0.0908771713765786
ALDH3A1,2.44707224263896e-12,0.216095400939557
ALK,8.98474859636288e-06,0.12205302972076
AMBRA1,0.00901384177650017,-0.00725440614694595
AMFR,0.00303909847145778,-0.0101267548121893
AMOT,0.122243041901426,-0.0197166425110851
AMOTL2,2.88861976641724e-30,-0.0882204421640305
ANAPC11,9.38183993125394e-39,0.0764961733950971
ANAPC2,2.66895334270249e-07,-0.0200462536500119
ANKRD13A,1.02792112094997e-23,-0.0357953487704545
ANKRD13D,2.94175870926159e-07,0.0216126561655061
ANKRD50,0.342432905528393,-0.00506121730465914
ANKS4B,0.00685878397966732,0.0896828933944867
ANLN,4.55966179801877e-87,0.355729913288511
ANXA1,0.00445774165145431,-0.0223885394103274
ANXA13,0.502773895814374,0.0229043785970426
ANXA2,0.555738951538948,0.00290173083836542
ANXA6,1.28051255814829e-27,-0.0780059544403819
AP1G2,9.79811277315104e-05,0.0160956747496197
APBB1,4.67767131044726e-46,-0.142894367070816
APEX1,4.69794642816806e-22,0.0426717338252649
APOA1,6.22511167916709e-40,-0.290610884117906
APOB,8.95503737762929e-14,-0.211764801989914
APOBEC3G,0.0127667062417387,0.0211009516910945
APP,0.0134068521686637,0.0109129998992676
APPL1,7.02940136886751e-09,-0.0208068579151695
AQP2,1.28626113892111e-10,-0.236430312171443
AR,6.55027963243664e-29,-0.182947887956903
ARF1,0.622837835102933,0.00126138519112562
ARF6,8.5791232135116e-10,0.025762310217246
ARFGAP1,2.88512902301638e-13,0.0285246048044829
ARHGAP35,0.0096882304029804,0.00942457005491271
ARHGDIA,0.691772446445971,0.00151234924412513
ARHGDIB,2.975010159124e-28,-0.0841225227684212
ARHGEF11,0.625460162256137,0.00178471844668948
ARHGEF7,1.33935374345352e-06,-0.0185858214408343
ARID1B,0.892087521758127,-0.000440000377277094
ARIH1,0.0598040768764978,-0.00828637207296357
ARIH2,2.97485545113801e-17,-0.0241234756085928
ARL6IP5,8.83858652407479e-33,-0.0773063530519575
ARNTL,1.58771620079135e-07,-0.0364517544423775
ARPC3,0.00980891380359535,0.00746494049640578
ARPC5,1.56536883434313e-06,-0.0171006043058322
ARRB1,7.52155870200637e-68,-0.214016291996622
ARRB2,6.70705360383539e-47,-0.0940258774901999
ART4,2.16229416814136e-46,-0.383640758284572
ARX,0.00148349420282245,-0.113385509058332
ASB11,3.18425539695616e-19,-0.284271425230222
ASB2,0.361749257452898,0.0111858465391341
ASB3,0.00506046818432687,0.0119875384851795
ASB4,3.5024141004422e-21,-0.226845233574821
