RNF14	RNF14
RNF13	RNF13
RNF13	SNAPIN
IRAK1	PELI1
IRAK4	PELI1
CBLB	CBLB
CBLB	CD247
CBLB	EGFR
CBLB	NLRP3
CBLB	SH3KBP1
RAB40C	RACK1
UBE4A	UBE4A
FBXW11	CEP68
FBXW11	CLSPN
FBXW11	CTNNB1
FBXW11	DDIT4
FBXW11	FBXO5
FBXW11	FBXW11
FBXW11	IFNAR1
FBXW11	IKBKB
FBXW11	NFKB1
FBXW11	NFKBIA
FBXW11	PDCD4
FBXW11	PER2
FBXW11	PLK4
FBXW11	SIPA1L2
UHRF1	DNMT1
UHRF1	PML
UHRF1	TP53
DTL	CDC6
DTL	CDKN1A
DTL	CDT1
DTL	CHEK1
DTL	ERCC5
DTL	KMT5A
DTL	PCNA
DTL	PDCD4
DTL	POLD4
DTL	POLH
DTL	SDE2
DTL	TDG
DTL	TP53
TANK	BIRC3
TANK	DUSP14
TANK	IKBKE
TANK	KRR1
TANK	MAPK11
TANK	TICAM1
FBXL14	CDCP1
FBXL19	CDC42
FBXL19	RAC1
FBXL19	RHOA
PAXIP1	PCNA
MKRN1	CDKN1A
MKRN1	CDKN2A
MKRN1	FILIP1
MKRN1	POLG
MKRN1	RPS10
MKRN1	TP53
TRIM59	TP53
TRIM56	VIM
TRIM52	TRAF2
NEURL1B	DLL1
NEURL1B	DLL4
PELI1	BCL6
PELI1	IRAK1
PELI1	RIPK3
PELI3	IRAK1
PELI3	RIPK2
PELI3	TRAF6
NEDD4	ADRB2
NEDD4	AKT1
NEDD4	ANXA13
NEDD4	APOBEC3G
NEDD4	BCL10
NEDD4	BRAT1
NEDD4	CDKN1A
NEDD4	EGFR
NEDD4	EPS15
NEDD4	F2R
NEDD4	GJA1
NEDD4	GRIN2D
NEDD4	HGS
NEDD4	HRAS
NEDD4	IFITM3
NEDD4	KDR
NEDD4	LAPTM5
NEDD4	LYN
NEDD4	MDM2
NEDD4	MYC
NEDD4	N4BP1
NEDD4	NEDD4
NEDD4	NRAS
NEDD4	PSMD4
NEDD4	RAP2A
NEDD4	RAPGEF2
NEDD4	RNF7
NEDD4	SLC6A3
NEDD4	SQSTM1
NEDD4	TBK1
NEDD4	THOC1
NEDD4	TMIGD2
NEDD4	TNFRSF18
NEDD4	TNK2
NEDD4	TTYH2
NEDD4	XPO1
RNF115	CXCR4
RNF115	EGFR
RNF115	MET
RNF115	RNF115
BFAR	TGFA
RBBP6	GRB2
RBBP6	YBX1
RBBP6	ZBTB38
PRC1	RNF2
CDCA3	CDKN1A
CNOT4	CNOT4
