RAB40C	RACK1
UBE4A	UBE4A
DTL	KAT2A
DTL	PCNA
DTL	POLD4
DTL	TDG
DTL	TP53
FBXL19	RAC1
PAXIP1	PCNA
ZNRF2	ZNRF2
FBXO32	ATR
TRIM59	TP53
DDB1	COPS5
RNF26	IRF3
RNF26	SQSTM1
ITCH	BCL10
ITCH	BRAT1
ITCH	ERBB3
ITCH	HGS
ITCH	INPPL1
ITCH	ITCH
ITCH	NOTCH3
ITCH	SNX9
PRC1	RNF2
E4F1	TP53
TBL1X	CTNNB1
TRIM11	AXIN1
TRIM17	IRF3
TRIM17	TRIM17
HUWE1	BRCA1
HUWE1	DUSP4
HUWE1	HDAC2
HUWE1	HUWE1
HUWE1	NR1D1
HUWE1	OGT
HUWE1	PA2G4
HUWE1	PCNA
HUWE1	POLB
HUWE1	TP53
HUWE1	WIPI2
CDH1	AURKA
BARD1	BRCA1
BARD1	POLR2H
CCAR1	TP53
TRIM2	BCL2L11
SKP2	AKT1
SKP2	BORA
SKP2	BRCA1
SKP2	BRCA2
SKP2	CARM1
SKP2	CCNA2
SKP2	CDH1
SKP2	CTNNB1
SKP2	E2F1
SKP2	JAK3
SKP2	NFKBIE
SKP2	NUDT1
SKP2	PHB
SKP2	PSMD9
SKP2	SKP2
SKP2	TCF3
SKP2	TP53
SKP2	USP18
FBXW8	IGFBP2
FBXW8	IRS1
FBXO22	BAG3
FBXO22	BSG
FBXO22	TP53
FBXO28	FBXO28
FBXW5	EPS8
FBXW5	SASS6
FBXW5	TSC2
KLHL11	CCNB1
KLHL12	CCNB1
KLHL12	DVL3
KLHL12	KHSRP
KLHL12	LNPK
KLHL12	SEC31A
TRIM62	TRIM62
TRIM65	VCAM1
RNF34	TP53
RNF31	IKBKG
SIVA1	XIAP
RACK1	HIF1A
BRCA1	AKT1
BRCA1	BARD1
BRCA1	BRCA1
BRCA1	CCNB1
BRCA1	FANCD2
BRCA1	H2AFX
BRCA1	HIST1H2AB
BRCA1	NPM1
BRCA1	POLR2H
BRCA1	PSMA7
BRCA1	RBBP8
BRCA1	TOP2A
BRCA1	TUBG1
RAD18	FANCD2
RAD18	PCNA
RAD18	RAD18
RAD18	RFC2
RAD18	TP53
TRIM28	IRF7
TRIM28	TP53
TRIM24	TP53
TRIM24	TRAF3
TRIM27	PIAS3
RNF181	RNF181
RNF216	RNF216
RNF216	TRAF3
ZFP91	BECN1
ZFP91	HNRNPF
HLTF	PCNA
FBXO6	ERO1A
FBXO6	IRF3
FBXO6	RIOK1
FBXO6	RNASET2
UBR5	AGR2
UBR5	ATMIN
UBR5	TOPBP1
UBR5	UBR5
UCHL1	CTTN
UCHL1	HSPA5
VHL	AKT1
VHL	AURKA
VHL	BRD9
VHL	CDC7
VHL	CDK1
VHL	CDK12
VHL	CDK13
VHL	CDK16
VHL	CDK2
VHL	CDK4
VHL	CDK7
VHL	CIT
VHL	CSNK1D
VHL	EED
VHL	EPHA1
VHL	EZH2
VHL	GSK3A
VHL	HDAC1
VHL	HDAC2
VHL	HDAC3
VHL	HIF1A
VHL	HNRNPD
VHL	IRAK1
VHL	KRAS
VHL	LIMK1
VHL	MAPK6
VHL	MAPK9
VHL	MARK2
VHL	PAK1
VHL	PARP1
VHL	PDIK1L
VHL	POLR2G
VHL	PRMT5
VHL	PTK6
VHL	RPS6KA4
VHL	RPS6KB1
VHL	RPTOR
VHL	SKP2
VHL	SMARCA4
VHL	SUZ12
VHL	TRIM24
VHL	UHMK1
VHL	ULK1
VHL	VHL
VHL	WDR5
DTX2	DTX2
BIRC6	DIABLO
GAN	ATG16L1
GAN	MAP1S
SQSTM1	LDHA
XIAP	AIFM1
XIAP	CASP3
XIAP	CCS
XIAP	CDK4
XIAP	DIABLO
XIAP	NUP62
XIAP	PGAM5
XIAP	RIPK4
XIAP	TLE3
XIAP	XIAP
STUB1	AKT1
STUB1	DPM1
STUB1	EIF5A
STUB1	ERBB2
STUB1	HIF1A
STUB1	HSF1
STUB1	HSP90AA1
STUB1	HSPA4
STUB1	HSPA8
STUB1	MST1R
STUB1	NFS1
STUB1	NPM1
STUB1	NQO1
STUB1	PGK1
STUB1	POLB
STUB1	PSMD4
STUB1	RUNX1
STUB1	RUNX2
STUB1	S100A2
STUB1	S100P
STUB1	SIRT6
STUB1	SMAD1
STUB1	SMG5
STUB1	SOD1
STUB1	SRC
STUB1	STUB1
STUB1	TP53
STUB1	TRAF2
STUB1	TRAF3
ANAPC11	CCNB1
ANAPC11	GMNN
ANAPC11	PTTG1
FBXL6	TP53
RNF4	PARP1
RNF4	RBBP8
RNF4	RNF4
RNF4	SUMO2
RNF5	IRF3
RNF5	JKAMP
RNF2	GMNN
RNF2	RNF2
RNF2	RRM1
TRIM37	TRAF2
TRIM37	TRIM37
UBE3C	AXIN1
UBE3C	UBE3C
TTC3	AKT1
FAF2	NF1
RNF43	RNF43
RNF40	PA2G4
RNF40	STX1A
TRIM47	ILF3
TRIM47	TP53
MPG	HMG20B
MPG	IGBP1
MPG	PTPA
MPG	STK36
DTX3L	DTX3L
DTX3L	HIST1H2BJ
RFWD3	TP53
CDC34	CTNNB1
SYVN1	NCSTN
SYVN1	SYVN1
SYVN1	TP53
NEURL2	CTNNB1
SIAH2	AKAP1
SIAH2	CHEK2
SIAH2	DYRK2
SIAH2	EGLN1
SIAH2	EGLN3
SIAH2	HDAC3
SIAH2	HIF1A
SIAH2	PSMD4
SIAH2	TP53
SIAH2	TRAF2
PRPF19	PRPF3
PRPF19	RPA2
ZC3HC1	CCNB1
TRAF2	ASS1
TRAF2	IKBKE
TRAF2	TRAF2
TRAF3	IKBKE
TRAF3	UBE2I
TRAF3	ULK1
TRAF4	AKT1
TRAF4	IRS1
