Patient_ID	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO004	05CO005	05CO006	05CO007	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	13CO001	14CO001	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO006	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004	01CO001.N	01CO005.N	01CO006.N	01CO008.N	01CO013.N	01CO014.N	01CO015.N	01CO019.N	01CO022.N	05CO002.N	05CO003.N	05CO006.N	05CO007.N	05CO011.N	05CO015.N	05CO020.N	05CO026.N	05CO028.N	05CO029.N	05CO032.N	05CO033.N	05CO034.N	05CO035.N	05CO037.N	05CO039.N	05CO041.N	05CO044.N	05CO045.N	05CO047.N	05CO048.N	05CO049.N	05CO050.N	05CO053.N	05CO054.N	06CO001.N	06CO002.N	09CO005.N	09CO006.N	09CO008.N	09CO011.N	09CO013.N	09CO014.N	09CO015.N	09CO018.N	09CO019.N	09CO022.N	11CO005.N	11CO007.N	11CO008.N	11CO010.N	11CO018.N	11CO019.N	11CO020.N	11CO021.N	11CO022.N	11CO027.N	11CO030.N	11CO031.N	11CO032.N	11CO033.N	11CO036.N	11CO037.N	11CO039.N	11CO042.N	11CO043.N	11CO044.N	11CO045.N	11CO047.N	11CO048.N	11CO051.N	11CO052.N	11CO053.N	11CO054.N	11CO057.N	11CO058.N	11CO060.N	11CO061.N	11CO062.N	11CO070.N	11CO072.N	11CO077.N	11CO079.N	14CO002.N	14CO005.N	15CO001.N	15CO002.N	16CO002.N	16CO003.N	16CO006.N	16CO011.N	20CO001.N	20CO003.N	20CO004.N	20CO006.N	20CO007.N	21CO006.N	21CO007.N	22CO004.N	22CO006.N	27CO004.N
Sample_Tumor_Normal	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
A2M	13.8117	12.6434	15.004000000000001	13.9284	12.9963	11.87	13.0274	12.5637	11.6234	15.3414	12.614		11.7993	13.1649	13.0539	13.2824	13.3714	13.6875	13.9425	13.1752	12.9518	13.3498	11.952	13.9088	13.8	14.1044	14.0064	11.9833	11.8384	11.7503	13.5216	12.3509	13.7038	13.7429	11.227	11.3832	11.8715	13.0674	12.8508	13.5683	13.365	12.7035	13.4684	13.3961	12.4278	13.341	12.3961	11.9564	11.2842	13.3208	13.4099	11.2877	12.103	12.7115	13.3368	13.4654	13.0369	13.3288	12.6161	11.3197	12.9399	11.8537	12.1405	12.917	12.2273	12.7482	11.3815	12.7705	12.4179	12.8872	13.5147	12.9401	14.2781	13.2653	13.8356	13.6199	12.4551	13.5846	13.965	12.4569	12.3783	12.057	12.7551	13.0007	12.752	13.0384	12.5127			11.7528	12.5083	12.0289	13.7785	14.3094	13.5882	13.9128	13.5352	14.259	11.6234	14.2033	13.7171	11.3078		12.7292	12.9123	13.4762	12.6131	14.262	13.025	13.1139																																																																																																				
ABCB1	10.585	9.0526	8.7846	8.8041	11.2192	8.8455	10.7254	9.1007	5.8826	8.4094	5.6724		9.4798	7.1699	5.4919	9.8122	7.6865	9.3309	9.3332	10.623	11.29	9.0112	8.3399	10.3912	12.9071	9.4998	10.7515	6.9658	6.6147	6.1293	11.0189	12.4362	7.9715	10.4325	6.3399	10.5699	10.4564	9.3859	12.8809	11.7549	12.4445	10.7993	11.4615	10.9715	11.2276	12.758	11.0126	7.9248	9.7074	9.3354	10.4888	7.7549	12.0715	9.6671	6.4757	9.7846	8.7347	8.7347	9.1649	8.0168	10.5479	8.4429	10.5793	10.2992	10.7482	8.817	9.697000000000001	8.9278	10.2119	8.8455	8.2095	9.3966	10.66	7.8074	11.1396	9.545	9.9643	10.2538	11.3592	5.9773	10.6987	10.4136	8.9687	7.3576	9.1898	9.7549	11.4025			9.543	8.3443	10.0471	7.2668	9.5736	8.4998	10.115	10.7211	9.4325	10.8517	9.5906	9.6582	8.8978		11.3939	8.7482	9.7632	10.0634	10.5469	10.972999999999999	9.6439																																																																																																				
ABCC1	8.9571	10.445	10.5028	9.4898	11.5618	8.585	9.4798	10.9498	9.5353	10.8258	10.0553		9.4367	10.5177	10.0293	11.5985	11.3531	10.2348	11.5157	9.8408	8.0444	8.3443	7.7004	8.7515	9.9571	11.0668	10.8541	9.66	10.0875	10.8781	8.6724	10.1611	8.3399	9.5118	9.5887	9.2527	9.9972	9.9586	10.5784	10.8226	10.1536	9.0553	10.4512	9.6348	10.4808	9.6952	9.5078	9.1649	9.0389	10.2866	9.6055	8.8297	8.2095	10.8595	9.9454	9.9337	10.7364	10.7347	11.0042	8.2761	10.1662	7.6294	8.9425	9.4409	9.5962	10.1163	9.4388	11.3371	10.2958	10.7731	10.6883	10.5147	10.2252	10.0444	9.3129	9.3487	10.4767	10.2877	9.7074	9.2969	9.6092	7.2946	10.0526	9.5962	10.5265	9.7846	10.8289			8.8611	10.4868	9.4305	10.8502	10.7805	9.6653	9.0607	9.4284	9.4051	7.9715	9.5137	8.96	9.7432		9.2288	9.6457	9.8533	9.5411	9.3794	9.7616	10.3476																																																																																																				
ABI2	9.8595	10.1662	9.825	9.4818	9.4051	8.6935	10.0056	9.8057	9.66	10.675999999999998	9.9307		9.4221	9.9844	9.8994	9.8455	10.5651	9.7022	10.1972	10.2562	8.7781	9.3332	8.8202	9.7764	9.9307	10.8098	10.0444	9.9144	10.115	10.6202	9.3859	9.8471	9.9174	9.2095	9.7415	9.207	9.4263	9.3707	10.4696	9.6511	10.3685	10.0265	10.2969	10.0795	10.8556	10.6786	9.9233	9.4696	9.611	9.2021	9.3487	9.8978	9.4939	9.7814	9.1007	10.1923	10.1267	10.6184	9.4325	10.2923	9.8057	9.1293	9.1874	9.5196	9.0848	9.9715	9.1548	9.3376	9.4757	10.207	10.0458	10.544	9.5736	9.6475	9.4409	9.9248	9.9614	10.0701	10.0417	9.857999999999999	9.3354	8.5584	9.1599	9.8564	9.9658	10.4858	10.3038			10.0861	9.8978	9.5157	10.6448	10.0539	9.9469	9.7731	9.7004	9.9174	9.6493	10.1712	10.0593	9.676		10.1306	9.8329	9.5392	9.6402	10.0334	9.7549	9.8642																																																																																																				
ABI3	7.3129	5.9069	7.9129	5.9307	7.5622	7.0334	7.4346	6.3399	5.7549	7.7074	6.8455		6.3923	7.3576	7.4429	6.2288	6.5392	7.2574	7.2095	6.9189	7.0	7.2761	7.2192	7.3663	6.9658	7.0553	6.8202	7.3487	7.6511	5.8826	7.3129	5.6724	6.3923	7.4838	6.7682	6.6439	7.3038	7.5925	6.585	6.6439	7.0875	6.6865	6.7814	7.2095	6.3038	7.7748	7.0334	7.5236	6.3399	7.5078	7.7004	6.9773	6.7549	7.4179	7.4998	7.5925	7.3129	7.2479	6.9658	6.5546	6.7944	7.5925	7.2095	7.7682	8.1293	7.1497	6.1898	6.6294	6.5236	7.6582	7.5392	6.9307	8.1849	7.7211	8.2143	6.9069	6.9425	6.5236	7.3576	7.9129	7.3309	7.6724	6.9658	7.7347	7.4757	7.2288	6.4094			6.0224	7.6582	7.4094	6.2095	7.5699	7.0112	7.6073	7.3399	7.8455	7.1699	7.4346	8.8673	5.9307		6.858	6.9542	7.0553	7.1997	8.1033	7.9715	6.7279																																																																																																				
ABL1	10.5068	10.9972	10.275	10.6564	11.5387	10.0647	10.2784	10.4284	9.9069	11.4263	10.8842		10.23	10.3276	10.6564	11.0688	10.7347	10.1072	11.1472	10.6073	9.2216	9.6952	8.7649	10.0875	9.9024	10.9001	10.623	10.0835	10.7389	10.9352	10.0485	11.4558	9.732999999999999	10.5147	10.375	9.9366	10.5216	10.0661	10.352	10.3208	10.7566	9.8074	10.9352	10.3848	11.0895	10.314	10.5147	9.6865	10.1293	10.2726	10.9773	10.0835	9.5333	10.6027	10.8941	10.6321	10.4909	11.3587	11.0231	10.0	10.3805	8.8704	10.722000000000001	10.3685	10.2773	10.5498	10.9263	11.0293	11.3287	11.3185	11.2467	11.1267	11.2592	10.5187	9.8376	10.7432	10.236	10.8122	10.2597	10.1586	10.5028	9.3376	10.9979	10.2264	10.9233	10.4858	11.2414			9.8994	11.7541	10.3465	11.1712	11.158	10.2432	10.4041	10.5934	10.544	10.1812	10.4969	10.5622	10.7465		9.8626	10.4788	9.9901	10.3421	10.2912	9.4409	10.6644																																																																																																				
ACACA	10.7108	11.9679	10.3421	10.3487	11.1046	11.032	10.2726	10.8289	10.1861	10.3663	10.7814		10.1319	9.8009	9.9069	10.4126	10.850999999999999	10.7398	11.4691	10.96	9.1948	10.115	9.6917	9.7381	10.5314	10.812999999999999	10.584000000000001	11.0189	10.2854	10.8376	9.8234	11.341	9.9396	10.6987	10.5915	10.1459	10.7039	9.3859	11.187999999999999	10.544	10.6239	9.9972	11.0286	10.817	11.0694	10.0403	10.8186	9.683	10.3117	10.4398	9.7797	10.7773	9.5999	10.1007	9.9498	10.8368	11.0028	10.8887	10.7423	10.5421	10.3015	10.4388	9.7482	10.8033	10.4062	10.1836	10.1215	10.7838	10.7969	11.1189	11.2312	10.9958	10.421	10.9549	9.8642	10.1799	10.4284	10.6375	9.9887	10.2597	9.8074	9.6475	10.8525	10.4878	10.5187	10.2312	11.4888			11.0154	11.1836	10.5048	11.3707	10.4168	9.7764	9.9233	10.0848	9.69	9.5906	10.224	9.6795	10.7773		10.374	10.3826	9.9174	10.1762	9.7004	10.3608	9.7731																																																																																																				
ACACB	8.2621	7.9307	9.0334	7.8517	7.8202	7.6221	7.6221	8.8041	7.6221	9.8041	8.5999		7.2668	7.3923	6.8329	8.9039	8.7347	7.8826	8.2946	9.0821	6.1293	7.8392	5.2479	7.5314	9.3531	9.3061	8.6257	8.6582	6.5546	7.7347	7.8704	8.8857	7.9425	9.1033	7.5314	8.0768	8.9687	8.0279	8.0498	8.5236	8.5736	7.9248	8.9944	9.3902	8.5962	8.7977	8.4959	6.7944	8.1649	8.2288	8.7347	6.8948	8.4838	8.585	8.1241	8.9039	8.611	9.0553	8.5699	7.6147	8.5661	6.8329	9.0901	7.5622	7.7944	9.1344	6.7682	8.8392	8.8796	9.1137	9.9039	8.1548	10.0647	7.983	7.858	8.1749	8.0	8.8517	9.3707	8.5392	8.1898	5.9307	8.8948	8.6511	8.7582	9.6257	9.1497			6.9425	8.3038	7.8265	9.8041	8.4553	8.585	8.7347	8.1898	9.4009	7.2761	8.8765	8.2621	6.2095		7.8265	9.2264	8.9687	8.6184	8.5736	6.7944	8.3794																																																																																																				
ACE2	10.9285	11.4944	11.0688	9.1874	11.3359	9.6689	11.239	10.4221	5.858	11.2685	8.5507		13.1147	4.7004	7.2192	9.2877	11.0403	8.9366	10.5068	10.8368	9.6421	12.2533	8.8948	9.1624	8.2854	10.6847	5.3923	7.5078	6.2854	5.0875	12.3856	12.645	8.5157	10.6129	6.5699	11.1306	10.4147	11.4727	11.4367	11.6961	5.6147	11.6839	11.3554	8.2143	10.2819	9.3531	10.5736	14.4995	9.9322	8.8074	9.875	7.4263	11.0389	9.9278	6.0875	9.0168	8.6221	5.3576	12.5157	11.3891	11.4903	10.4727	10.9241	6.6865	5.4919	11.0375	10.5897	11.9506	12.0471	7.8704	10.5641	11.4062	7.6935	8.3219	11.1929	10.7657	10.7805	8.8549	12.1583	8.1033	10.4878	12.3415	8.6294	5.1699	10.3264	10.7944	9.9322			13.2938	9.7846	12.6497	4.2479	11.0661	8.7582	10.0914	11.7415	7.6511	11.3465	12.7123	6.2854	11.0423		8.2288	11.4964	11.0042	10.7912	10.5177	12.5687	10.2715																																																																																																				
ACVR1	9.3729	9.2808	9.1137	8.9658	8.8138	8.5236	9.0661	8.5699	8.4959	9.8564	9.2021		9.0224	9.2503	9.9144	8.8642	9.2384	8.8486	9.7279	9.2119	8.9099	9.0224	9.0334	9.2854	9.1824	9.3597	9.1599	9.0196	8.5157	10.218	9.0928	9.611	8.9454	8.5736	8.8978	8.4136	8.4757	8.8734	10.1434	9.3966	9.2574	9.1699	9.2761	9.207	9.3663	9.3576	8.857999999999999	8.5078	8.7582	8.8918	9.0607	8.5774	9.0901	9.0875	9.1189	9.6202	9.1447	9.7499	8.8642	8.6582	8.9542	8.9571	9.0196	9.2691	9.0553	8.9366	8.4429	8.4051	8.8041	9.1421	9.4367	8.9513	9.1874	8.9744	8.8887	8.69	9.0389	9.1447	9.1215	8.7781	8.3576	8.7682	9.0084	9.0444	9.2761	9.4838	9.8688			8.8202	9.0821	8.8234	9.2691	9.2119	8.9744	8.9972	8.6147	9.2167	8.7245	9.7022	9.255	8.4094		8.9425	8.7074	8.8549	8.5118	9.3966	9.982999999999999	9.255																																																																																																				
ADRM1	10.2503	11.5147	9.9901	10.2312	10.8765	11.0056	12.6558	12.0792	10.9801	10.9672	10.6786		12.0255	10.6751	10.8017	11.0437	11.5073	11.2509	11.4727	11.7339	11.0701	11.6511	11.2444	10.6046	11.744000000000002	11.2408	10.5793	10.3783	12.3092	11.7052	12.3482	11.5201	11.3712	11.5864	11.7262	11.3707	11.865	12.3647	11.7895	11.5255	10.4398	11.1325	10.8297	11.2497	11.4558	11.2155	11.9495	11.6225	12.0185	12.481	10.6257	11.3432	12.4305	12.312000000000001	10.6662	10.982999999999999	10.8361	10.5774	11.1504	12.2309	11.2137	11.464	11.4717	10.769	11.462	11.5493	11.1561	11.5831	11.9538	11.3242	11.9001	11.6069	11.3772	10.8162	11.7616	11.811	12.1283	11.1529	11.4163	10.8549	11.5953	11.6325	10.8681	11.0327	12.2067	11.7549	11.1555			11.7117	10.7855	12.0546	10.5245	11.8545	11.9114	11.9737	12.572000000000001	11.3225	11.187999999999999	10.5868	10.4818	11.6298		10.9858	11.6407	11.3168	11.679	10.7582	11.7768	11.3112																																																																																																				
