Name	Database_ID	Patient_ID	C3L-00104	C3L-00365	C3L-00674	C3L-00677	C3L-01040	C3L-01043	C3L-01045	C3L-01046	C3L-01048	C3L-01049	C3L-01061	C3L-01142	C3L-01146	C3L-01149	C3L-01154	C3L-01155	C3L-01156	C3L-01157	C3L-01327	C3L-01834	C3L-01839	C3L-01887	C3L-02041	C3L-02465	C3L-02504	C3L-02542	C3L-02642	C3L-02704	C3L-02705	C3L-02707	C3L-02708	C3L-02900	C3L-02955	C3L-02970	C3L-02984	C3L-03260	C3L-03266	C3L-03387	C3L-03390	C3L-03392	C3L-03400	C3L-03405	C3L-03407	C3L-03681	C3L-03727	C3L-03728	C3L-03744	C3L-03747	C3L-03748	C3L-03968	C3L-04084	C3N-00661	C3N-00662	C3N-00663	C3N-00665	C3N-01192	C3N-01196	C3N-01334	C3N-01364	C3N-01366	C3N-01367	C3N-01368	C3N-01369	C3N-01370	C3N-01505	C3N-01515	C3N-01517	C3N-01518	C3N-01798	C3N-01814	C3N-01815	C3N-01816	C3N-01817	C3N-01818	C3N-01850	C3N-01851	C3N-01852	C3N-01856	C3N-01857	C3N-02181	C3N-02183	C3N-02185	C3N-02186	C3N-02188	C3N-02190	C3N-02255	C3N-02256	C3N-02769	C3N-02770	C3N-02782	C3N-02783	C3N-02784	C3N-02785	C3N-02786	C3N-02788	C3N-03070	C3N-03088	C3N-03180	C3N-03182	C3N-03183	C3N-03184	C3N-03186	C3N-03187	C3N-03188	C3N-03473	PT-NPJ7.N	PT-P44H.N	PT-Q2AG.N	PT-QVJO.N	PT-R55F.N	PT-RN5K.N	PT-RU72.N	PT-UTHO.N	PT-WVLH.N	PT-Y8DK.N
Sample_Tumor_Normal			Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
A2M	ENSG00000175899.13		2997849.7878301265	1506847.8138502452	7685071.852758471	4466828.877366757	2713129.929343136	9794877.264082199	3254766.458937488	8750694.656509515	1890166.5065359704	7337570.967174147	1247505.7225257608	7195185.766614308	5809438.196750371	705442.0289211794	3043759.825415245	2218404.578711695	2595976.659343092	4135162.3440623987	2268385.864374406	7807748.819727837		1864342.2281193146	4582888.699613608	5219911.688622423	4901885.478436296	2259338.188784774	2683611.2019178416	6776904.991837405	3758774.8402193217	4540829.383019924	7065268.963053512	3502572.686132299	7737264.956048371	1377365.8283640142	2292874.337868357	1822666.2061514198	3439388.3481710306	1591058.1600572632	1605113.9895084868	5523488.366419458	16702496.710985687	3017537.016083889	7871980.4396985825	2893784.9593919804	3664817.9979714174	7092269.608447327	3792814.4052866907		5283481.059367792	4229466.621723571	1481528.6628181248	3904990.6924988776	3770254.845033359	13430566.088834396	2400470.230532668	3482020.191995407	1328167.78954273	2741262.998435589	6245732.60230511	2591231.5233333525	7569402.824694574	1853636.1913186368	8580478.975215806		16354276.096724533	4362298.936194973	4338304.184176979	5067306.439970718	4328353.150855007	3001943.5743158767	13989316.559758402	15143530.02301842		6847673.512402928		10379044.03289015	3178074.375883833	6600369.215016746	1238077.6455176831	3157487.9155586977	9987700.213579802	3485147.1696135923	3167115.9029649533	5763203.648065405	6645912.945340265	1544106.4783170056	3030328.269367445	2850269.146162366	4719380.987751626	2606958.201549211	5501700.472786032	29854363.70295358	3313223.564308205	14519917.563580634	5154402.485353063	3560006.4439285737	9868741.12129525	8069067.656864222	10233389.648209596	12340692.01444656	2441880.6708620423	3260525.370538405		3716906.1291868174	4628334.3304577	717375.8621737757	840729.127252612		1213345.646649673	238075.3154746958	1290791.374543968	688942.5055175233	612815.435535404	747628.2535918137	749769.1166023135
ABCB1	ENSG00000085563.13		66221.2791579628	46647.62208269203	352660.21695457125	125408.76337101	215902.6995257196	95057.18200318833	8884.369526774048	104078.71337913394	35032.684383983986	45999.48360330746	38468.869067707004	154504.01620787953	114219.17722290875	22774.957795156293	35551.64065644215	111706.11969347713	100606.48754679364	91094.11916271939	185560.43693560766	161695.57125807938		123974.78409540775	86790.60454702015	174668.56178980012	26343.10099321541	27179.87933290165	157757.84171297034	127728.24906429178	71088.6228259397	205733.63161453148	43826.10109962287	118069.64648487224	109960.1746907708	106555.50423811383	51517.66273715541	87249.81711376943	51670.68549776112	188067.86179315022	42306.33988164973	140330.86554866732	42932.63213401457	119248.08283362712	68557.63048671425	100944.57149642364	80818.91445205902	168000.31623588936	85520.04556393281		45271.41746510022	59250.31334906416	52784.30560379233	280355.0728647538	86011.2277159511	126278.59459038476	50954.1428637397	92337.00365636207	25021.07918071497	75889.15901856372	142358.96675112654	34572.02259071837	129280.72076029949	67157.41756571719	39791.562228402116		124713.80545357721	96729.22961087569	204441.06366142255	66752.80399419321	188855.77325958962	86473.03878234616	129293.82771878569	57530.333976549824		177104.46972730765		140178.85450620786	124028.88939779061	48599.66379766339	96254.7866993926	35497.650801052296	71555.89518353605	81648.0991212946	97677.55820960354	109350.40270993381	72431.4460863576	48539.128800926825	68846.04706402513	60478.01490879205	63112.54764259452	38264.940897586224	130713.81882218352	29954.020578412186	67694.17579932352	18937.840264074235	92814.81294230897	183578.84924828	138731.67295475694	77522.19943715268	12987.402394005332	45987.98850768204	132087.25600239437	118690.38568900172		268439.2970304097	68499.06044317564	142038.29701136288	137737.00419183882		181824.24008374626	63128.996686573984	318739.4127347089	179330.6975285479	133186.77966725655	118377.07089285688	130285.66272185039
ABCC1	ENSG00000103222.17		328184.51039969607	140706.79626595232	109908.66528513293	184033.81339784944	98916.67132814931	164918.61952152586	196505.33132361984	203671.3001706313	202353.1778734731	207519.85158344073	101514.251386091	171334.6580464865	130131.41560720828	91957.24767281878	144248.89382725875	156172.0829238923	128545.94779603965	150448.43168104862	88040.32265690707	71826.57780189456		78239.32298353179	220537.6787678768	152268.51472287913	147888.69429850148	59764.23048012666	178313.4835222644	183990.87615183552	221978.40221978337	87295.60152125389	231390.62235844898	209137.5215260033	102586.69028284687	72567.09443763815	109989.2812578392	132628.95194113036	107311.34463139538	99460.80163129675	98277.18718966852	296746.8038391804	247302.14956979532	105498.41391906119	174498.23158211514	168544.0356527979	113720.22644985856	105105.59252646544	146918.90290371006		167625.45819799378	195940.65013611526	120122.63889899635	131621.93516328512	156112.14586805186	279752.1131423484	163677.38468762155	81295.60258983112	118291.10274834614	157544.51913156247	74297.80498441319	211986.97099586643	155769.2001084161	117739.50504294092	197840.92230361237		126854.14404726315	215880.41157056802	82854.27241205648	176188.57563269613	126836.53122534114	113809.8488693885	171509.44468880177	102290.602892065		112654.37497813403		95086.431720095	133414.45876431194	310189.1262409566	101861.15803804994	531299.563797991	250352.0228842579	142684.01435986566	89954.00887797687	152631.89604964512	133020.55594160446	253065.30653065303	100118.22077730132	140470.21853016212	87498.6692217608	81868.13643580984	110286.41111677207	149528.345135497	98783.18548243408	337153.0482907577	181187.88877792488	126240.23203163328	94626.54479587713	149423.00238979555	756002.7257786505	250493.05312575065	75323.63574329563	105767.04222146324		86224.83870008586	121081.67722199485	65858.36005370239	70117.62461746912		87733.19920718558	90133.01966126614	119620.43370908312	91818.13703758428	86463.60819288026	64623.62726147254	74430.79358217884
ABI2	ENSG00000138443.14		252142.2337266223	294186.03712762875	140257.6581024655	176729.678628685	273453.49547061214	165940.88256573633	208743.9884979471	98590.69645399504	247872.7189416312	93096.99497446623	326467.6330967726	131955.68916554545	160987.68144256485	271438.8490628447	200435.15946212414	223150.3145055153	239066.80884850523	218951.03979556359	297051.80915144284	117331.86868107713		287315.2590401357	147447.78049233483	116934.66333621016	270004.4835606899	241122.5213975552	187944.26026453593	200052.77067680535	236121.8205430359	243344.5474670177	219271.05214498512	169224.39341359615	89921.77697926633	340833.8515682922	269269.62897953746	178982.0577211685	187643.65481245733	248765.7099517002	323961.1362445375	107156.68607187789	135723.66872212998	251940.93611857685	122664.66292976408	176705.4324070973	191429.13362300265	190557.69745592753	230333.07495488023		145694.97604757588	192621.53636615767	275846.6951715727	213570.345094464	257301.1898078064	152635.05750485446	161231.17924823484	171402.19633625465	306739.6819295484	245457.66178053306	215472.49108504414	174877.11684252412	151982.0719131948	299525.7508944167	86274.59726228111		198447.68800124343	204567.1174813192	227106.68959675552	124504.2286786092	192984.44024751915	204077.98840326862	162430.43809626342	237285.5321701608		159581.83400369305		129990.71366446554	256785.45508182058	182080.6926129924	307320.14886153745	139041.3793680682	96834.19149785713	238840.32467217196	234640.3296471345	198536.22568863712	185335.80698087317	227373.3866893182	182440.951984324	175490.9910447011	241441.1948107247	239138.7033629589	148713.4606566159	97865.2386586252	181246.21939272288	154716.5808667516	170404.3748993037	160877.144465914	191641.55892499685	90069.05519176979	93856.98546719893	136184.99249297267	280963.9100802996	169621.33405458712		202465.5490002021	229644.9677325429	331904.94203955925	425154.6230856253		326904.1488103466	339769.28136932297	222182.6565680524	324928.01518957806	293584.42932624783	415726.1773090858	370491.5149702003
ABI3	ENSG00000108798.7		91457.96829330367	86321.16046715245	204529.95985152546	41007.9255098875	107830.01159388258	135039.49327637753	133380.8303652235	538120.7607347034	87590.83670967793	112578.41571711976	49603.99477504597	852011.0097343102	212079.85078279133	14902.183987170683	103015.47720848868	165639.60120579574	119039.41304525276	201295.6117556637	109083.18788908247	216214.8662404648		66444.56668871164	210740.27890879483	366509.00961649726	79151.3830812851	67215.44852527035	182929.70778454407	126383.36869577375	154814.98933316607	156729.26158410663	180005.51351900323	249383.2560245241	307927.8115466374	38266.45788046748	120582.26765404743	99216.16924298716	96420.93483343636	91381.49375689386	34427.36710266962	283472.3325797723	141135.0024358327	84743.92017962711	518042.63175206026	155291.73060542165	132395.1878219237	267216.67467649217	81018.71042330214		154095.47965135015	106647.61626612383	45652.113043559366	104989.48657003435	67777.0342180797	79586.22371477226	151615.53145321677	155238.86734745745	64249.131616895575	139696.65730352025	193951.88930395184	40864.24331468061	122690.75831248278	40830.66451336225	255444.32968759642		254591.9142800093	77651.49605187507	100569.7381653914	143566.10289615954	134937.90654048466	83256.71476201544	251387.24414611078	93106.07806756832		124212.04482759893		465645.6047084954	92579.11306025146	62026.460864122324	47707.90975158478	101340.90439346877	439994.74742021726	53252.79557380178	142892.26230717223	126031.54257322408	283386.0878450845	72549.60023689673	114895.29145801891	73344.65251369687	90298.93874120004	39588.44427670052	234068.61079524495	110173.76614512343	103889.29556664391	209630.0835295259	131681.32729588452	175480.44744510725	238276.21138161488	235018.8979660391	173086.8137519944	125999.83200022375	75483.58060108374	107056.61013141614		102504.78491520825	81205.65727954822	37064.980275090355	35705.649120586066		27201.077162655547	27305.25819240136	39388.13675933974	8994.117361077331	33878.708009050904	15277.207063837903	13182.714824322373
ABL1	ENSG00000097007.16		423349.71698597155	528069.5616161231	278819.4392978945	335949.7248737485	397555.20987494226	393997.33472391154	723274.8810668603	495764.1852046959	652105.5293916345	560361.7887115567	879247.445814789	541875.3531866132	420533.87176074117	500303.6247604285	618429.3379620939	471632.1199071857	627304.864711921	417908.3711599217	339675.7739950793	354645.64529263775		441528.2015682567	375106.2247716157	380841.418161237	447223.0314652292	421748.6035930479	465633.97714781744	510902.16990895686	344472.76635103713	403507.7933172383	510127.3135826225	381545.86695553776	494073.38166082866	301437.0293951727	442935.2767118585	344573.64079211344	544874.4266794911	407568.3437837702	453926.498077867	488544.43851511617	362784.0733866759	356188.16016632784	419985.75826840545	440802.16922220116	361955.9939306808	477140.7774260167	496149.80671613896		549650.2140030273	441837.2934166974	271788.25955707306	427102.9199029959	456122.33307460713	372207.83888277935	564104.2763899809	246235.4650092846	520215.3655695236	499589.61266693275	415888.17598723975	167124.91986923938	180216.48300557575	419989.5381989632	561782.2271275608		352953.35825915344	514515.9603541522	475592.03604545025	432818.2231562163	412415.8803617879	458387.74457831116	394875.9019234285	356463.4646995562		475384.00442615687		262190.6210669257	658712.2709194528	905638.2000215495	466138.6171324253	706240.5929944313	464986.15033576783	541285.3866193037	429480.20869302354	450733.4680427186	411709.80253000115	525233.2116576846	388681.59203980025	403284.9124629994	527643.711836181	303021.54623667256	346006.1406486887	413994.7371693183	494977.204935416	476018.71991566493	434270.3049925464	479942.32297121297	421230.92414509365	526045.0772942869	377135.5694722902	297740.4932549465	508976.0987928374	485652.10105272295		344512.7728110509	810114.2606076251	154017.17148323392	191014.05120319745		159226.27561757786	181928.53644433848	312563.5022872671	172369.51000256778	274765.37299490604	164770.85201951533	167114.46778262794
ACACA	ENSG00000278540.3		425193.86687449063	234487.9020540571	194712.21844001344	285163.8312750765	249954.83005677513	286408.0865180024	190496.3782513389	165143.6657066899	331926.6780006606	258985.82853400265	343164.30630140024	219511.66590902503	327919.03622131073	567718.9298457311	334039.8509195516	368965.9538104805	320240.7080351754	316572.68819879193	336634.36562732357	280084.0872245148		341200.04387899674	244791.2662720376	140233.68436314672	315446.45569047646	474504.6051467796	297520.36650801275	313556.7479527999	292709.4632591977	418954.25032046	345427.3128477385	380304.15639845375	283454.38447285537	478511.37740586157	395003.3330540604	377305.1864794257	237748.92656901968	292452.1883499775	502288.91518957727	491835.152261155	257725.4511548044	368471.9037724363	180294.96255874645	254749.44895479106	280890.7528795144	282381.9221798773	188685.3667240971		261012.9856239269	381937.2267699935	310644.3796467366	265396.84483981715	355645.5737824696	225566.51898807372	224270.3474800548	324168.1103192555	203910.930781192	272305.0123321209	146728.62878710346	414895.01189428096	321244.1544705305	307718.4133185864	182814.32814328145		183754.28820292625	258807.1546350139	267970.1417404624	305188.2145824857	371120.4905533993	386734.49492302845	193304.57357157435	132010.96933896837		310219.5332907389		201597.29569323602	335547.6990524088	264873.1767179181	306091.7488224559	205707.91049769853	187971.15462755962	378931.1018186145	328763.05852007226	298801.92311050923	277462.5014267106	683495.4713183497	393235.3339391597	268260.6427738767	337300.18499781826	281709.9959412699	245667.44276622182	355197.2731637117	251449.3986941829	200542.00020895392	344796.5874660228	307908.11069333	250011.18421482496	221110.8345374945	274200.61650009226	363469.0915517879	334554.78689975716	289899.51806845644		386995.2363187293	196740.45835913555	470347.56917415	280460.5774009903		467941.7879773777	454477.0118896437	318988.23567514465	473325.25564061647	457674.9011764917	447088.4982366093	444372.2386696514
ACACB	ENSG00000076555.14		106509.76587560619	62994.86791882638	39619.234924782984	85484.7274306374	94794.89831092732	56184.63230291863	57638.11542067258	69433.64470633738	102563.97822152128	48819.808350737	81513.31570352115	60488.50548932169	73873.11080298187	65156.86688667799	100718.50008185947	111635.0747125354	57363.50442588313	111324.87109387733	59854.866763659295	92326.92482476927		44347.72541301273	20556.8482132598	98929.55601080172	37388.72176653469	18711.10573568688	109467.49996253157	97087.68567624547	117388.5306464805	104865.19766000297	14855.487202400878	14129.403410302086	65744.2567986983	50715.76586749711	90719.98524524193	103680.5877831815	81080.56667576019	108968.00957667448	35789.78597284627	174202.35588854208	66758.2520336297	38696.06396187455	50347.68421986367	169270.63670099233	43317.07391096457	21096.92719488096	82628.00441724854		66455.20898477128	28005.612476121914	63178.705684241104	64732.49724611027	41254.125412541216	15153.708116825659	52795.141572243585	42875.30736235951	68121.52309882992	80758.27924808896	48997.74861530759	33875.94335578312	103329.35336307477	110731.64184667329	34610.99760945902		21878.25839511704	75430.3789768236	73896.77631295241	83741.28329749784	70848.55337805032	41519.42404189966	71598.15776158714	84413.68075654686		85223.03953512634		269796.2287493737	97519.8303802001	58399.584837828916	125189.57118383984	12716.750656565828	27445.45360849813	137263.373091527	72732.61102454671	61166.56982658982	42865.33319759317	109554.69900661237	43796.01475559109	98965.4671651497	16505.709933171005	73144.23845855294	66640.48989869209	90525.22538225992	46344.54837575889	206789.30680854528	66697.00158329854	24155.036833706934	78661.76946438564	67637.19872654456	199847.323343759	106759.83569432989	54241.93892145232	69387.48826207385		97822.74518572312	27864.673206854208	131174.08079437725	63033.43331088522		91538.5163420001	95336.69731978617	194157.63113483365	110883.02026578573	109570.00876244274	58818.36195394827	64415.522280778554
ACE2	ENSG00000130234.9		4309.599231048612	1080.0039231142475	1579.610389097529	9111.882988843365	2338.459235978595	2364.8325747804383	5289.618109195277	2096.9718049558983	1791.6448434371152	1270.208935962202	1060.8863214555813	2504.399640898549	1570.076333840359	1503.613785371763	1531.3357228976545	1719.1801979823556	3822.785160467895	2657.5106566177287	912.2928912678226	2459.240084687545		3222.1654047055763	1658.2823908982846	4218.321460412664	4906.88954056346	2138.0428811581687	3248.5031045353508	389.46815786234833	2197.2516776016514	1651.2944910338788	3545.548096352666	3600.172088225813	602.7263966918507	5855.452304413258	8046.189148808724	4176.1996223419455	781.3256909263067	5946.324823264073	5654.923115905936	2368.382858562615	3436.0000179269514	8191.593014456734	2654.9803282551284	2625.5764781354765	2675.815747914708	2505.3656581178016	1178.6773495695356		2768.6106004562635	1864.3160127500546	1523.1324793341073	5737.4408175430235	2206.664884522073	4696.886875197786	1046.5831545638457	905.1835139961064	3189.8832215651355	1968.936095225622	2077.587073751847	3398.625108377348	461.4351000760445	1997.7425509174616	1380.553795349463		2929.639448607229	2523.4642748431093	1915.4060900336594	3463.7886871176925	3632.035934612076	2251.433487701617	2424.730589338849	2349.572195459429		5100.243791653243		137.0156940516279	2845.946092089119	2057.686355099636	1925.4700072287626	2881.642907312077	1996.6239940580454	21176.99378455228	1785.0448938790785	1963.2987138326803	2495.5314390170106	2469.93624477068	4870.895142220637	4652.867339191253	3081.195668249713	3079.6434286183535	2361.7262423919906	3680.90349172409	1249.8144025612191	2389.171002790816	2739.113305400122	2549.805758481325	3435.023205143123	1471.686697916952	1031.2233815464617	4108.6968732654495	3164.912714239265	3842.6405747711906		3442.0564221888694	8241.900066661981	4728.897998204077	1015.2951678803224		2304.285510191851	2945.075013637532	4957.191733387072	4562.009108811514	2138.804524932629	1607.7212779365564	583.1036633779187
