Patient_ID	01OV002	01OV007	01OV008	01OV010	01OV013	01OV017	01OV018	01OV019	01OV023	01OV024	01OV026	01OV029	01OV030	01OV033	01OV039	01OV041	01OV045	01OV046	01OV047	01OV049	02OV001	02OV005	02OV006	02OV008	02OV015	02OV022	02OV023	02OV029	02OV032	02OV035	02OV036	02OV040	02OV041	02OV042	02OV044	02OV045	02OV046	04OV001	04OV004	04OV005	04OV008	04OV011	04OV012	04OV013	04OV017	04OV018	04OV021	04OV023	04OV024	04OV027	04OV028	04OV031	04OV033	04OV036	04OV037	04OV039	04OV040	04OV041	04OV044	04OV045	04OV048	04OV049	04OV050	04OV051	04OV053	04OV054	04OV055	04OV057	04OV058	04OV063	11OV002	11OV009	11OV010	13OV003	13OV004	14OV011	14OV029	15OV001	17OV001	17OV002	17OV003	17OV004	17OV005	17OV010	17OV011	17OV012	17OV013	17OV014	17OV015	17OV017	17OV018	17OV019	17OV025	17OV027	17OV028	17OV029	17OV030	17OV033	17OV034	17OV036	17OV039	17OV040	18OV001	20OV005	22OV001	26OV002	26OV008	26OV009	26OV010	26OV011	26OV013	01OV007.N	01OV008.N	01OV010.N	01OV013.N	01OV017.N	01OV019.N	01OV023.N	01OV029.N	01OV039.N	02OV001.N	11OV002.N	11OV010.N	14OV011.N	14OV029.N	15OV001.N	17OV001.N	17OV002.N	17OV003.N	17OV004.N	17OV005.N
Sample_Tumor_Normal	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
A2M	47.7384	84.2226	39.4228	89.5759	65.2893	43.2028	77.4961	21.7834	0.0		152.083		17.269000000000002		43.6967	157.464	30.3616	64.5888	20.2543	18.6749		61.8057	0.0	104.76799999999999	50.7993	155.532	49.3388	46.6442	43.7456	0.0	38.6857	30.6444	9.97283	24.3925	38.1293	68.6835	18.3694	72.402	87.9851	0.0	158.041	16.54	0.0	29.0773	97.8748	133.59799999999998	108.57600000000001	0.0	46.876000000000005	0.0	0.0	83.9345	38.27	83.1263	0.0	125.925	42.2522	0.0	42.2642	156.922	0.0	0.0	14.9602	51.5122	30.9294	17.133	45.0351	30.5503	28.5615	38.8993	76.0337	33.0237		21.909000000000002	40.7225	60.3998		135.957	54.2914	34.5256				15.185	0.0		0.0	149.903	84.6279	216.955	38.5801	62.9019	27.5958	26.8597	0.0	0.0	41.0642	31.4181	53.2204	34.0442	27.7331	80.7503	6.463480000000001	10.808	201.368	91.7165	27.122	18.2593	14.3978	88.2157	26.4864																				
ABCB1	0.38906599999999997	0.571875	0.18018399999999998	0.839325	0.982152	0.639369	1.14904	0.34679699999999997	0.47832299999999994		1.04311		0.369634		0.562126	0.687088	0.574296	0.287058	0.642725	0.6129		0.0	0.7399479999999999	0.8737809999999999	0.586203	0.702995	0.6682359999999999	0.18342999999999998	0.9924959999999999	0.217608	0.310402	0.497674	0.217311	0.522005	0.281617	0.538243	0.332269	0.331523	0.736791	0.415958	0.6487470000000001	0.694377	1.16159	0.381392	0.862559	0.59175	0.848018	1.0984399999999999	0.636328	1.09992	0.46346499999999996	0.301566	0.42405600000000004	0.732941	0.314697	0.8148340000000001	0.500432	0.6256189999999999	0.360541	0.603973	2.0519	0.306579	0.358159	0.7599779999999999	0.6311260000000001	0.181377	0.146946	0.343564	0.435633	0.595119	0.679607	0.891202		0.0	0.18920399999999998	0.6988409999999999		0.750633	0.48853800000000003	0.945168				0.369246	0.552834		0.46394399999999997	0.81875	1.13431	0.0	0.45797299999999996	0.0	0.70996	0.391002	0.502534	0.538719	1.64074	0.540456	1.04033	0.623714	0.401588	1.7819099999999999	0.644554	0.194174	0.274808	3.06314	0.537614	0.41138500000000006	0.152305	2.0337400000000003	0.153103																				
ABCC1	3.9438800000000005	1.8691900000000001	3.39299	0.6489199999999999	1.6763700000000001	4.1355	2.45133	2.83405	9.89245		5.510669999999999		6.04517		12.3781	6.96213	2.92291	8.62312	3.46519	4.14565		2.87702	4.9759400000000005	10.8655	6.90002	3.85411	9.12549	5.29623	1.4329100000000001	2.1552599999999997	2.5819	3.81434	2.40117	1.2060600000000001	1.2163	16.0604	0.7903399999999999	5.567480000000001	5.83786	3.8176	6.88011	7.08874	15.3143	17.2917	6.732489999999999	15.6779	5.15292	3.9731300000000003	10.6844	11.8546	8.02715	5.269080000000001	11.3403	5.99541	12.1622	8.07885	7.041980000000001	3.79455	2.3393200000000003	8.91704	5.7028099999999995	6.09201	4.77096	6.0158	3.6095800000000002	4.10543	6.7735899999999996	3.42791	3.61385	10.9603	0.910217	12.7401		1.97387	0.6363850000000001	6.9692		12.9584	8.05016	4.59079				1.8361299999999998	9.62152		9.99896	14.7631	6.910069999999999	17.6676	3.04703	5.25028	3.63705	7.226839999999999	9.78711	7.73787	0.6675800000000001	5.22055	1.6713900000000002	5.238980000000001	2.4161599999999996	8.26553	2.14986	2.10187	7.443230000000001	2.4052	2.16187	16.0611	7.61908	11.6927	2.01308																				
ABI2	7.47249	8.94382	12.8279	5.81609	6.05922	13.3837	7.245139999999999	9.81608	4.894880000000001		18.1398		16.6602		15.9955	8.6993	7.09733	18.1263	10.9629	15.2746		12.6778	4.70874	9.65221	13.7804	7.450489999999999	13.7223	9.14153	7.153789999999999	6.7550300000000005	13.9306	4.60192	8.85215	9.54717	10.3325	8.68402	5.92185	16.6714	18.2298	0.0	21.4068	14.6943	9.07574	8.19405	11.4405	14.5996	10.5099	9.3599	20.3183	14.2447	12.8268	13.247	8.13836	27.0977	12.5152	10.8269	10.1425	9.55286	10.2914	7.8204	4.94024	7.01933	8.03485	16.2401	9.73058	8.36335	8.37549	10.6818	11.0592	16.1883	5.94594	32.8974		8.80537	3.97886	12.5682		9.43201	10.4779	6.56067				2.09614	19.0792		13.3738	4.68257	20.0213	20.9681	14.4939	10.5024	9.83618	20.2639	26.5535	7.9211	3.92334	9.82602	8.31445	16.5587	4.27829	12.0959	14.8151	6.635460000000001	10.7003	14.1443	10.0422	8.91394	10.9653	14.222000000000001	5.31916																				
ABI3	2.2173599999999998	3.14398	0.475649	1.09917	3.2502400000000002	1.7487400000000002	4.58078	0.731386	1.7183099999999998		4.876580000000001		0.244714		2.03582	3.61205	3.21339	1.05683	2.3609400000000003	1.6144399999999999		3.2524900000000003	3.9975699999999996	2.0737400000000004	2.92068	2.55722	2.64216	1.86137	4.76011	1.41573	1.8105200000000001	2.75696	0.850974	2.9696599999999997	1.46662	3.80916	1.19784	2.18459	6.21664	3.00942	2.14625	0.27028800000000003	5.68663	1.0488899999999999	1.26704	2.52222	4.39286	2.54786	0.939651	4.34834	4.251580000000001	2.9100200000000003	2.68405	2.67855	1.91867	2.2307200000000003	2.0377099999999997	2.61158	2.41338	2.4669	2.87175	2.34252	0.418525	2.74747	1.59114	0.9574219999999999	2.9709	1.50292	1.12522	3.9131	4.01509	0.287486		1.26328	2.8853299999999997	1.8537299999999999		3.25828	2.23822	2.4807099999999997				14.7447	0.512849		2.2900099999999997	2.8500400000000004	2.06898	2.60908	2.01749	6.66184	2.97686	1.91603	0.900443	0.435721	4.98272	1.0278399999999999	3.6104300000000005	4.53113	1.63532	12.1273	0.0932841	0.436126	1.5206	1.37522	0.290962	0.741692	2.02802	2.2000900000000003	2.0784																				
ABL1	9.574060000000001	5.21594	5.306019999999999	1.20918	6.97698	14.1636	13.4117	4.30767	9.09784		9.41353		3.45106		15.1484	25.2942	6.40296	19.2206	7.256539999999999	10.9639		11.0392	4.37857	8.55614	7.325089999999999	2.6922	18.5513	4.86445	5.74569	6.63025	5.32469	4.60989	7.0757	4.51265	10.1135	4.93311	1.07209	9.03624	9.24447	5.23484	8.598419999999999	2.36501	13.8117	9.59171	8.84187	10.9073	15.397	7.7072899999999995	6.63075	10.2441	6.80709	10.9244	9.42182	18.0378	7.85549	16.0682	4.11963	6.628310000000001	4.364380000000001	10.2675	1.27118	4.25673	0.0	15.2083	8.47678	7.57637	12.2036	3.7462800000000005	7.25475	5.78745	1.8341900000000002	20.9931		5.35734	2.08582	9.67477		16.2273	4.6623	6.74523				2.7078	9.48357		14.1456	8.747160000000001	16.0741	5.62574	7.26808	5.19781	7.86155	13.1108	7.5764	4.38892	3.4329099999999997	4.00431	2.8668	8.49748	7.638319999999999	6.7256100000000005	4.53484	3.04967	4.4915199999999995	14.8271	9.10673	14.2602	3.0756200000000002	8.39519	3.4849900000000003																				
ACACA	6.808339999999999	3.4938300000000004	10.629000000000001	3.02667	3.09409	3.31005	4.0551699999999995	2.97473	5.82223		3.43571		5.340730000000001		4.4632	4.56297	2.02581	4.10928	1.6797799999999998	3.03437		4.71234	2.56383	7.2828800000000005	5.18283	3.5746900000000004	4.05178	3.35124	2.6676900000000003	1.5570700000000002	4.49096	2.3145	1.8497400000000002	1.37438	2.58547	4.48222	1.9697799999999999	7.0663100000000005	4.02464	2.8738900000000003	7.337330000000001	3.0580000000000003	6.41401	6.8738	6.570880000000001	5.42111	4.02581	2.50293	3.56561	4.31431	5.21699	4.1869	3.9563	6.00336	5.45367	7.2462	3.45361	3.09795	3.36936	5.7652	3.77817	2.64365	3.83245	5.1855400000000005	6.92255	2.83248	3.94829	3.8816900000000003	5.74249	4.2312	2.40413	7.96713		2.31473	0.95599	3.20477		6.33553	11.9726	5.55377				4.72018	10.6244		4.02564	5.4625900000000005	5.85343	5.90384	4.52882	2.6609	3.60468	2.2459	3.59804	6.943969999999999	1.2560200000000001	10.5377	4.37694	2.45198	6.819539999999999	3.25794	1.5354299999999999	2.53249	7.4922699999999995	3.99165	3.6471	7.954560000000001	6.9034699999999996	5.56314	3.97371																				
ACACB	2.17611	1.78613	0.629024	0.561962	0.19406700000000002	3.2224	2.42726	0.621008	1.72921		3.87756		2.5772		5.49821	2.88112	0.935117	4.4840599999999995	0.709434	0.783331		2.45856	0.400882	3.22205	1.3066200000000001	0.0	2.31088	3.8523	1.58492	2.3909700000000003	1.4551	0.817922	0.0843727	1.06121	0.949817	3.18895	0.11453900000000002	3.58863	4.12711	1.9224400000000001	2.18947	2.68614	4.02325	4.3718699999999995	4.60762	5.18987	3.2123	0.548687	1.8838099999999998	3.44538	1.9162299999999999	2.79338	0.971986	2.8437	2.74575	0.0	1.76689	3.74844	1.74046	1.57915	0.331239	2.9668799999999997	0.224544	2.33285	3.48116	2.78155	1.3236700000000001	0.355769	1.57523	0.0	0.5736180000000001	7.714460000000001		2.28974	0.290613	2.42408		1.54155	2.27375	0.7738550000000001				1.38763	5.74359		1.52284	1.71712	11.4965	2.909	1.19393	1.05134	1.54401	1.1945	2.49383	1.7820900000000002	0.610772	1.29635	1.14408	3.7482599999999997	0.12195299999999999	2.0688299999999997	1.00094	0.816806	4.47617	3.43615	0.719618	2.0945	1.40396	4.06148	1.2154																				
ACE2	0.702308	0.254328	0.059258000000000005	1.69262	0.493457	0.598433	0.217335	0.0	0.0723538		0.168576		0.0379276		0.0	0.0434974	0.0482707	1.2352100000000001	0.0	0.220739		0.522027	0.21781999999999999	0.338405	0.026890699999999997	0.738682	0.7721100000000001	1.39353	0.771882	0.286975	0.07861749999999999	0.06870010000000001	1.62716	0.480156	1.35227	0.30188200000000004	4.46967	0.0	0.40104	0.0942781	0.163074	0.0421702	0.08567000000000001	0.166168	0.0537924	0.0	0.11586700000000001	0.728952	0.0764567	0.627837	0.0	0.299987	0.0	2.4719	0.0486847	0.253184	0.057340800000000004	0.0762	0.7364310000000001	0.49291999999999997	1.2085	1.34471	0.328146	1.26119	0.0	0.675027	0.10475	0.41674399999999995	0.191237	0.227448	1.86075	0.35472800000000004		0.36395500000000003	0.572621	0.0679067		1.2699	4.44313	0.447204				0.0	0.12411400000000002		0.261838	0.791242	0.0	0.8043779999999999	0.0	0.121486	0.573091	1.6171200000000001	0.40889699999999995	0.5971029999999999	2.0733900000000003	0.665135	0.370689	0.271111	1.06444	0.199559	0.0904397	0.15245999999999998	1.97659	0.160797	0.7072430000000001	0.0	1.70917	0.0	0.08038789999999998																				
