"E3 Ligase"	"E3 Tier"	"Substrate"	"Substrate Tier"	"Cancer Types"	"Existing Protac"	"Num Cancer Types"
"1"	"BARD1"	"1"	"BRCA1"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	5
"2"	"BARD1"	"1"	"ESR1"	"1"	"glioblastoma"	"No"	1
"3"	"BARD1"	"1"	"POLR2A"	"1"	"endometrial_carcinoma_(uterine), lung_squamous_cell_carcinoma"	"No"	2
"4"	"BIRC3"	"1"	"BIRC3"	"1"	"head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"5"	"BIRC3"	"1"	"CASP3"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"6"	"BIRC3"	"1"	"MALT1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"7"	"BRCA1"	"1"	"AKT1"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	4
"8"	"BRCA1"	"1"	"BRCA1"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	6
"9"	"BRCA1"	"1"	"FANCD2"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	6
"10"	"BRCA1"	"1"	"NF2"	"1"	"endometrial_carcinoma_(uterine), lung_squamous_cell_carcinoma"	"No"	2
"11"	"BRCA1"	"1"	"POLR2A"	"1"	"endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	3
"12"	"CBL"	"1"	"ABL1"	"1"	"glioblastoma"	"No"	1
"13"	"CBL"	"1"	"ALK"	"1"	"glioblastoma"	"No"	1
"14"	"CBL"	"1"	"CTNNB1"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"15"	"CBL"	"1"	"EGFR"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"16"	"CBL"	"1"	"FGFR4"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"17"	"CBL"	"1"	"KDR"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"18"	"CBL"	"1"	"LCK"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"19"	"CBL"	"1"	"LYN"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"20"	"CBL"	"1"	"MET"	"1"	"head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"21"	"CBL"	"1"	"PDGFRB"	"1"	"head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"22"	"CBL"	"1"	"PLCG1"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"23"	"CBL"	"1"	"SRC"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"24"	"CBL"	"1"	"SYK"	"1"	"glioblastoma"	"No"	1
"25"	"CBL"	"1"	"VAV1"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"26"	"CBLB"	"1"	"EGFR"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
