MYLIP_HUMAN MYLIP
TP4AP_HUMAN TRPC4AP
TNAP3_HUMAN TNFAIP3
BRCA1_HUMAN BRCA1
TRI41_HUMAN TRIM41
RN123_HUMAN RNF123
HECW2_HUMAN HECW2
DDB2_HUMAN DDB2
3MG_HUMAN MPG
MEX3B_HUMAN MEX3B
SOCS2_HUMAN SOCS2
VHL_HUMAN VHL
UHRF2_HUMAN UHRF2
RING2_HUMAN RNF2
DCA12_HUMAN DCAF12
ZFP91_HUMAN ZFP91
RN168_HUMAN RNF168
HECD3_HUMAN HECTD3
GAN_HUMAN GAN
CNOT4_HUMAN CNOT4
TRI39_HUMAN TRIM39
FZR1_HUMAN FZR1
SIAH1_HUMAN SIAH1
RN183_HUMAN RNF183
HERC5_HUMAN HERC5
RB40C_HUMAN RAB40C
TOPRS_HUMAN TOPORS
PELI1_HUMAN PELI1
MDM2_HUMAN MDM2
CHFR_HUMAN CHFR
TRIM4_HUMAN TRIM4
UBL4A_HUMAN UBL4A
IRAK1_HUMAN IRAK1
BIRC7_HUMAN BIRC7
TRI22_HUMAN TRIM22
TTC3_HUMAN TTC3
HUWE1_HUMAN HUWE1
FBX42_HUMAN FBXO42
FBX22_HUMAN FBXO22
TRIM2_HUMAN TRIM2
RICTR_HUMAN RICTOR
NHLC1_HUMAN NHLRC1
CISH_HUMAN CISH
CBLB_HUMAN CBLB
TRI59_HUMAN TRIM59
PELI3_HUMAN PELI3
TRIM6_HUMAN TRIM6
BIRC3_HUMAN BIRC3
TRI47_HUMAN TRIM47
RD23A_HUMAN RAD23A
KLH12_HUMAN KLHL12
UBE4B_HUMAN UBE4B
TRI27_HUMAN TRIM27
KEAP1_HUMAN KEAP1
BFAR_HUMAN BFAR
ZNRF1_HUMAN ZNRF1
PAXI1_HUMAN PAXIP1
FBX27_HUMAN FBXO27
TRI62_HUMAN TRIM62
MALT1_HUMAN MALT1
LNX1_HUMAN LNX1
ASB3_HUMAN ASB3
TRI50_HUMAN TRIM50
TRI23_HUMAN TRIM23
TOM1_HUMAN TOM1
UBR4_HUMAN UBR4
SKP2_HUMAN SKP2
SIVA_HUMAN SIVA1
CCAR1_HUMAN CCAR1
TRAF6_HUMAN TRAF6
RNF8_HUMAN RNF8
NEUL2_HUMAN NEURL2
FBXL2_HUMAN FBXL2
FXL12_HUMAN FBXL12
DTX2_HUMAN DTX2
APC11_HUMAN ANAPC11
ARI2_HUMAN ARIH2
RAD18_HUMAN RAD18
PIAS4_HUMAN PIAS4
OSTM1_HUMAN OSTM1
KLH25_HUMAN KLHL25
SMUF1_HUMAN SMURF1
RNF34_HUMAN RNF34
TRAF4_HUMAN TRAF4
RNF6_HUMAN RNF6
FBSP1_HUMAN FBXO45
RING1_HUMAN RING1
PIAS2_HUMAN PIAS2
NED4L_HUMAN NEDD4L
KLH13_HUMAN KLHL13
FBXL6_HUMAN FBXL6
CBL_HUMAN CBL
KLH20_HUMAN KLHL20
CHIP_HUMAN STUB1
NEU1B_HUMAN NEURL1B
HOIL1_HUMAN RBCK1
FBX28_HUMAN FBXO28
AHR_HUMAN AHR
DET1_HUMAN DET1
TRAF2_HUMAN TRAF2
RNF4_HUMAN RNF4
FBW1B_HUMAN FBXW11
CADH1_HUMAN CDH1
CDCA3_HUMAN CDCA3
UB2R1_HUMAN CDC34
AURKA_HUMAN AURKA
RN125_HUMAN RNF125
BRAP_HUMAN BRAP
MIB1_HUMAN MIB1
RN180_HUMAN RNF180
RNF13_HUMAN RNF13
PJA1_HUMAN PJA1
TRI31_HUMAN TRIM31
KLHL6_HUMAN KLHL6
TRI11_HUMAN TRIM11
MSL2_HUMAN MSL2
RBX1_HUMAN RBX1
RFFL_HUMAN RFFL
FBX11_HUMAN FBXO11
CCNF_HUMAN CCNF
SOCS5_HUMAN SOCS5
FBXW8_HUMAN FBXW8
TRIPC_HUMAN TRIP12
MEX3C_HUMAN MEX3C
SOCS3_HUMAN SOCS3
RN185_HUMAN RNF185
TRI56_HUMAN TRIM56
RN138_HUMAN RNF138
KLH21_HUMAN KLHL21
TRI36_HUMAN TRIM36
RN19A_HUMAN RNF19A
RNF43_HUMAN RNF43
BRE1B_HUMAN RNF40
DDB1_HUMAN DDB1
SOCS1_HUMAN SOCS1
RN126_HUMAN RNF126
RACK1_HUMAN RACK1
UHRF1_HUMAN UHRF1
RSAD2_HUMAN RSAD2
FBH1_HUMAN FBH1
FAF2_HUMAN FAF2
SIAH2_HUMAN SIAH2
RN216_HUMAN RNF216
FBX2_HUMAN FBXO2
RFWD3_HUMAN RFWD3
NAT10_HUMAN NAT10
RAG1_HUMAN RAG1
PRP19_HUMAN PRPF19
BARD1_HUMAN BARD1
DCA15_HUMAN DCAF15
TRIM5_HUMAN TRIM5
CIKS_HUMAN TRAF3IP2
SYVN1_HUMAN SYVN1
SPOP_HUMAN SPOP
BIRC2_HUMAN BIRC2
TRIB3_HUMAN TRIB3
SMUF2_HUMAN SMURF2
FBX6_HUMAN FBXO6
TRI69_HUMAN TRIM69
XIAP_HUMAN XIAP
RO52_HUMAN TRIM21
RBBP6_HUMAN RBBP6
STABP_HUMAN STAMBP
RNF26_HUMAN RNF26
ITCH_HUMAN ITCH
TRIM9_HUMAN TRIM9
FBX4_HUMAN FBXO4
HAKAI_HUMAN CBLL1
BIRC6_HUMAN BIRC6
TRI37_HUMAN TRIM37
TIF1A_HUMAN TRIM24
PTPA_HUMAN PTPA
CBLC_HUMAN CBLC
TRI17_HUMAN TRIM17
TRAIP_HUMAN TRAIP
FA12_HUMAN F12
NIPA_HUMAN ZC3HC1
RN181_HUMAN RNF181
TRIM7_HUMAN TRIM7
TRI52_HUMAN TRIM52
TRI32_HUMAN TRIM32
IRAK4_HUMAN IRAK4
FBX8_HUMAN FBXO8
FANCL_HUMAN FANCL
DYRK2_HUMAN DYRK2
R144B_HUMAN RNF144B
SQSTM_HUMAN SQSTM1
BACD1_HUMAN KCTD13
FBX32_HUMAN FBXO32
FXL14_HUMAN FBXL14
UBR7_HUMAN UBR7
UBE4A_HUMAN UBE4A
LHX1_HUMAN LHX1
COP1_HUMAN COP1
RN220_HUMAN RNF220
KLH42_HUMAN KLHL42
DTX3L_HUMAN DTX3L
DCA11_HUMAN DCAF11
UBR5_HUMAN UBR5
RNF31_HUMAN RNF31
KLH22_HUMAN KLHL22
E4F1_HUMAN E4F1
TRAF1_HUMAN TRAF1
HDAC6_HUMAN HDAC6
R144A_HUMAN RNF144A
MUL1_HUMAN MUL1
